SRR1737949_1.fastq.gz	1R36C56Cdbbr418MN13_R1_1.fastq.gz
SRR1737950_1.fastq.gz	1R36C56Cdbbr418MN13_R1_2.fastq.gz
SRR1737951_1.fastq.gz	1R36C56Cdbbr418MN13_R1_3.fastq.gz
SRR1737952_1.fastq.gz	1R36C56Cdbbr418MN13_R1_4.fastq.gz
SRR1737953_1.fastq.gz	1R36C56Cdbbr418MN13_R1_5.fastq.gz
SRR1737954_1.fastq.gz	1R36C56Cdbbr418MN13_R1_6.fastq.gz
SRR1737955_1.fastq.gz	1R36C56Cdbbr418MN13_R1_7.fastq.gz
SRR1737956_1.fastq.gz	1R36C56Cdbbr418MN13_R1_8.fastq.gz
SRR1737949_2.fastq.gz	1R36C56Cdbbr418MN13_R2_1.fastq.gz
SRR1737950_2.fastq.gz	1R36C56Cdbbr418MN13_R2_2.fastq.gz
SRR1737951_2.fastq.gz	1R36C56Cdbbr418MN13_R2_3.fastq.gz
SRR1737952_2.fastq.gz	1R36C56Cdbbr418MN13_R2_4.fastq.gz
SRR1737953_2.fastq.gz	1R36C56Cdbbr418MN13_R2_5.fastq.gz
SRR1737954_2.fastq.gz	1R36C56Cdbbr418MN13_R2_6.fastq.gz
SRR1737955_2.fastq.gz	1R36C56Cdbbr418MN13_R2_7.fastq.gz
SRR1737956_2.fastq.gz	1R36C56Cdbbr418MN13_R2_8.fastq.gz
SRR1737861_1.fastq.gz	2012BM7F068_R1_1.fastq.gz
SRR1737862_1.fastq.gz	2012BM7F068_R1_2.fastq.gz
SRR1737863_1.fastq.gz	2012BM7F068_R1_3.fastq.gz
SRR1737864_1.fastq.gz	2012BM7F068_R1_4.fastq.gz
SRR1737865_1.fastq.gz	2012BM7F068_R1_5.fastq.gz
SRR1737866_1.fastq.gz	2012BM7F068_R1_6.fastq.gz
SRR1737867_1.fastq.gz	2012BM7F068_R1_7.fastq.gz
SRR1737868_1.fastq.gz	2012BM7F068_R1_8.fastq.gz
SRR1737861_2.fastq.gz	2012BM7F068_R2_1.fastq.gz
SRR1737862_2.fastq.gz	2012BM7F068_R2_2.fastq.gz
SRR1737863_2.fastq.gz	2012BM7F068_R2_3.fastq.gz
SRR1737864_2.fastq.gz	2012BM7F068_R2_4.fastq.gz
SRR1737865_2.fastq.gz	2012BM7F068_R2_5.fastq.gz
SRR1737866_2.fastq.gz	2012BM7F068_R2_6.fastq.gz
SRR1737867_2.fastq.gz	2012BM7F068_R2_7.fastq.gz
SRR1737868_2.fastq.gz	2012BM7F068_R2_8.fastq.gz
SRR1737853_1.fastq.gz	2012BM7F223_R1_1.fastq.gz
SRR1737854_1.fastq.gz	2012BM7F223_R1_2.fastq.gz
SRR1737855_1.fastq.gz	2012BM7F223_R1_3.fastq.gz
SRR1737856_1.fastq.gz	2012BM7F223_R1_4.fastq.gz
SRR1737857_1.fastq.gz	2012BM7F223_R1_5.fastq.gz
SRR1737858_1.fastq.gz	2012BM7F223_R1_6.fastq.gz
SRR1737859_1.fastq.gz	2012BM7F223_R1_7.fastq.gz
SRR1737860_1.fastq.gz	2012BM7F223_R1_8.fastq.gz
SRR1737853_2.fastq.gz	2012BM7F223_R2_1.fastq.gz
SRR1737854_2.fastq.gz	2012BM7F223_R2_2.fastq.gz
SRR1737855_2.fastq.gz	2012BM7F223_R2_3.fastq.gz
SRR1737856_2.fastq.gz	2012BM7F223_R2_4.fastq.gz
SRR1737857_2.fastq.gz	2012BM7F223_R2_5.fastq.gz
SRR1737858_2.fastq.gz	2012BM7F223_R2_6.fastq.gz
SRR1737859_2.fastq.gz	2012BM7F223_R2_7.fastq.gz
SRR1737860_2.fastq.gz	2012BM7F223_R2_8.fastq.gz
SRR1737909_1.fastq.gz	2012CM7F040P05_R1_1.fastq.gz
SRR1737910_1.fastq.gz	2012CM7F040P05_R1_2.fastq.gz
SRR1737911_1.fastq.gz	2012CM7F040P05_R1_3.fastq.gz
SRR1737912_1.fastq.gz	2012CM7F040P05_R1_4.fastq.gz
SRR1737913_1.fastq.gz	2012CM7F040P05_R1_5.fastq.gz
SRR1737914_1.fastq.gz	2012CM7F040P05_R1_6.fastq.gz
SRR1737915_1.fastq.gz	2012CM7F040P05_R1_7.fastq.gz
SRR1737916_1.fastq.gz	2012CM7F040P05_R1_8.fastq.gz
SRR1737909_2.fastq.gz	2012CM7F040P05_R2_1.fastq.gz
SRR1737910_2.fastq.gz	2012CM7F040P05_R2_2.fastq.gz
SRR1737911_2.fastq.gz	2012CM7F040P05_R2_3.fastq.gz
SRR1737912_2.fastq.gz	2012CM7F040P05_R2_4.fastq.gz
