Sample name	Min	1st Q	Mode	Median	Mean	3rd Q	Max
1R36C56Cdbbr418MN13_	0	7	6	14	20.0024	26	29379
2012BM7F068_	0	22	27	27	30.3397	32	50349
2012BM7F223_	0	20	25	25	28.3615	30	47390
2012CM7F040P05_	0	23	28	28	29.5653	32	23706
2012CM7F040P06_	0	30	36	36	40.0658	41	57818
2012CM7F040P07_	0	21	26	26	28.8507	31	44341
2012CM8F030P02_	0	20	25	25	28.1414	30	45043
2012CM8F030P07_	0	22	27	27	30.1005	32	42057
2012CM8F030P09_	0	21	26	26	28.9229	31	43313
2012DM8F016P02_	0	22	27	27	30.1866	32	39457
4R30C22acr626MN13_	0	14	17	17	19.6141	21	31392
5R39C03Dr334cMN12_	0	14	18	18	19.96	22	24465
6R40C84Dar41dMNB12_	0	8	7	14	20.3611	25	43734
FN0112228.06.02.01.M5_	0	20	26	26	28.1596	33	38468
FN0112885.02.06.03.M5_	0	23	31	31	33.2497	38	46941
FN0131633.06.01.M4_	0	20	27	27	29.3741	33	42321
FN0163764.04.01.M4_	0	12	16	17	18.9797	21	37685
FN0164160.03.02.01.01.M6_	0	19	26	26	28.4073	33	48046
FN0164472.x3.06.01.M5_	0	20	26	27	29.2695	33	36474
FN0170228.07.35.01.M5_	0	18	23	23	25.4241	29	24689
FN0170712.06.41.01.M5_	0	20	26	26	28.6868	33	27358
FN0171501.01.02.M4_	0	21	28	28	30.6709	35	29924
FN0172932.09.08.01.M5_	0	16	23	23	24.12	29	25770
FN0173217.03.09.01.M5_	0	21	29	28	30.4031	35	33790
FN0175143.05.06.01.M5_	0	22	30	29	31.6371	37	46173
FN0175501.x2.02.01.M5_	0	21	27	27	29.4497	33	30366
FN0190069.01.01.M4_	0	18	23	24	26.2719	30	57390
M92-220.x1.04.WT_	0	47	60	59	62.5028	71	46002
R18C55Dhaar437MN13_	0	15	18	18	20.095	22	30684
R52C55Dadr564MN13_	0	12	15	15	17.5	19	33120
RP8DM5r597MN13_	0	14	17	18	19.4919	21	31305
