Sample name	Min	1st Q	Mode	Median	Mean	3rd Q	Max
FC_31721	0	9	14	13	14.296	17	9423
Holladay	0	8	12	12	13.3106	16	17505
IA3023	0	9	12	12	13.156	15	9672
Maverick	0	9	12	12	13.4319	16	17653
PI_079691-4	0	8	12	12	13.3418	16	16986
PI_086006	0	8	12	12	13.0706	15	13001
PI_087617	0	9	12	12	13.2891	16	14402
PI_087631-1	0	8	12	12	12.8834	15	10216
PI_088788	0	7	11	10	11.5996	14	9638
PI_089772	0	11	17	16	17.3293	21	12097
PI_090763	0	10	15	14	15.2408	18	13144
PI_196175	0	9	13	13	13.4801	16	14111
PI_200508	0	9	12	12	13.2734	16	10828
PI_209332	0	10	16	15	16.681	20	10051
PI_248515	0	9	12	12	13.5017	16	13182
PI_366121	0	9	12	12	13.3944	16	12117
PI_378702	0	8	13	12	13.4653	16	27127
PI_398593	0	9	12	12	13.2666	16	13646
PI_398595	0	8	12	12	13.0527	15	13124
PI_398610	0	8	12	12	13.0834	15	14189
PI_398614	0	8	12	12	12.9478	15	18916
PI_404166	0	12	17	16	17.5968	21	13344
PI_404198B	0	10	16	15	15.9091	19	10674
PI_407162-soja	0	9	13	13	13.3623	16	10480
PI_407184	0	8	12	12	13.2558	16	13109
PI_407729	0	9	13	12	13.4328	16	7806
PI_407788A	0	11	16	15	16.2639	20	13762
PI_407965	0	8	12	12	13.1911	15	18733
PI_408105A	0	9	12	12	13.0293	15	13380
PI_416937	0	10	14	14	14.9888	18	15696
PI_417015	0	8	13	12	13.5564	16	14739
PI_417091	0	10	13	13	14.3368	17	10437
PI_424078	0	8	12	12	13.2268	15	18804
PI_424079	0	9	12	12	13.2579	16	16492
PI_424088	0	9	12	12	13.5253	16	14938
PI_424298	0	11	16	16	17.0113	20	13253
PI_424608A	0	9	13	12	13.4195	16	9405
PI_437169B	0	10	14	14	14.5793	17	9368
PI_437654	0	10	17	16	17.0429	21	12756
PI_437655	0	9	13	13	14.1218	16	13044
PI_437679	0	8	12	12	13.1187	16	10649
PI_437690	0	10	14	14	15.2018	18	12798
PI_437725	0	8	12	12	13.2141	16	17814
PI_437863A	0	8	11	12	12.727	15	11054
PI_438258	0	9	12	12	13.14	15	14934
PI_438471	0	10	14	14	14.7149	17	16493
PI_458515	0	9	12	12	13.3956	16	10756
PI_464920B	0	9	12	12	13.5493	16	15234
PI_467312	0	9	12	12	13.2779	16	8906
PI_468915	0	8	13	12	13.2607	16	9921
PI_471938	0	9	12	12	13.4182	16	9238
PI_475783B	0	9	13	12	13.4672	16	8149
PI_483463-soja	0	8	13	12	13.3326	16	8739
PI_495017C	0	11	15	15	16.1887	19	13292
PI_507354	0	10	13	13	14.2009	16	12095
PI_518664	0	10	15	15	15.7401	19	10446
PI_518751	0	8	12	12	13.3943	16	9435
PI_542044	0	10	13	13	14.569	17	14341
PI_547862	0	9	12	12	13.2527	15	12811
PI_548316	0	12	19	18	18.7736	23	10751
PI_548317	0	8	11	11	12.2171	14	9225
PI_548349	0	9	12	12	13.2024	16	9419
PI_548402	0	11	16	15	16.5655	20	12015
PI_548402A	0	12	17	16	17.3586	20	11585
PI_548415	0	9	12	12	13.4296	16	9161
PI_548511	0	8	12	12	13.1618	15	11546
PI_548657	0	9	12	12	13.4922	16	11338
PI_548667	0	9	14	13	14.6175	17	12843
PI_549031	0	9	12	12	13.6334	16	8297
PI_552538	0	9	12	12	13.6137	16	14437
PI_561271	0	9	12	12	13.1855	16	12500
PI_567230	0	9	12	12	13.4691	16	11896
PI_567305	0	9	14	13	14.1666	17	10595
PI_567336B	0	9	12	12	13.5535	16	9774
PI_567343	0	9	13	13	13.6649	16	10170
PI_567354	0	9	13	13	13.7689	16	12903
PI_567357	0	9	13	13	13.7255	16	7429
PI_567383	0	9	12	12	13.5581	16	11071
PI_567387	0	8	12	12	13.2029	16	9522
PI_567516C	0	8	13	13	14.3126	18	9842
PI_567519	0	9	12	12	13.4055	16	8028
PI_567611	0	8	12	12	13.1785	16	13852
PI_567651	0	9	12	12	13.2392	16	13225
PI_567690	0	8	12	12	13.1095	16	11952
PI_567719	0	9	12	12	13.2689	15	13431
PI_567731	0	8	12	12	13.19	16	15698
PI_591539	0	9	12	12	13.2685	16	14816
PI_593258	0	8	12	12	13.0306	15	14591
PI_594012	0	8	12	12	13.2268	16	14125
PI_594512A	0	10	14	14	15.026	18	14347
PI_594599	0	9	12	12	13.4893	16	13185
PI_597387	0	9	12	12	13.4833	16	13495
PI_603154	0	9	12	12	13.0837	15	13300
PI_603170	0	9	12	12	13.0772	15	11838
PI_603175	0	10	14	14	14.7827	18	24589
PI_603176A	0	9	12	12	13.4388	15	12647
PI_603497	0	9	12	12	13.1713	15	9804
PI_605869A	0	9	12	12	13.1563	15	14304
PI_612611	0	10	15	15	15.9103	19	10973
PI_639740	0	9	12	12	13.1669	15	12518
PI_647086	0	9	12	12	13.5168	16	8017
PI_658519	0	9	12	12	13.3395	15	11577
S05-11482	0	11	16	15	16.5761	20	15558
S07-5049	0	9	12	12	13.1001	15	15521
S10-11227	0	11	18	17	17.734	22	13087
V71-370	0	9	12	12	13.1603	15	16952
