Sample name	Encoding	Read length	Number of reads	Read depth	%GC	Deduplicated percentage	Per base sequence quality	Per tile sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence length distribution	Sequence duplication levels	Overrepresented sequences	Adapter content	Kmer content
FC_31721_1	Sanger / Illumina 1.9	90	81079764	6	36	81.36252606923142	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
FC_31721_2	Sanger / Illumina 1.9	90	81079764	6	36	82.53240014622367	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
Holladay_1	Sanger / Illumina 1.9	90	76079453	5	35	82.05303355667101	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
Holladay_2	Sanger / Illumina 1.9	90	76079453	5	35	83.41776868101346	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL
IA3023_1	Sanger / Illumina 1.9	90	76446631	5	34	80.13143497413657	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
IA3023_2	Sanger / Illumina 1.9	90	76446631	5	34	81.42391708906447	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
Maverick_1	Sanger / Illumina 1.9	90	76439539	5	35	81.9795693301063	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
Maverick_2	Sanger / Illumina 1.9	90	76439539	5	35	83.23841933459693	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_079691-4_1	Sanger / Illumina 1.9	90	76534652	5	35	81.22359996767354	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_079691-4_2	Sanger / Illumina 1.9	90	76534652	5	35	82.3484634511595	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_086006_1	Sanger / Illumina 1.9	90	76475005	5	34	80.01810504730801	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_086006_2	Sanger / Illumina 1.9	90	76475005	5	34	81.18441090501574	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_087617_1	Sanger / Illumina 1.9	90	76574640	5	34	82.29961635569599	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_087617_2	Sanger / Illumina 1.9	90	76574640	5	34	83.42679469970295	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_087631-1_1	Sanger / Illumina 1.9	90	76103088	5	34	80.36694528232809	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_087631-1_2	Sanger / Illumina 1.9	90	76103088	5	34	81.80295655173323	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_088788_1	Sanger / Illumina 1.9	90	65862635	4	35	81.51589841190776	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_088788_2	Sanger / Illumina 1.9	90	65862635	4	36	82.41757580719843	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL
PI_089772_1	Sanger / Illumina 1.9	90	98671122	7	36	80.05158369641605	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_089772_2	Sanger / Illumina 1.9	90	98671122	7	36	81.14106078906632	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL
PI_090763_1	Sanger / Illumina 1.9	90	87331318	6	35	79.66918985183749	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_090763_2	Sanger / Illumina 1.9	90	87331318	6	35	80.90085933649561	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_196175_1	Sanger / Illumina 1.9	90	76550473	5	35	83.90193246920333	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_196175_2	Sanger / Illumina 1.9	90	76550473	5	35	85.08447162609633	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_200508_1	Sanger / Illumina 1.9	90	75972453	5	34	85.29044619010769	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_200508_2	Sanger / Illumina 1.9	90	75972453	5	34	87.03266840486032	FAIL	FAIL	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_209332_1	Sanger / Illumina 1.9	90	94342369	7	36	79.81359915220008	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_209332_2	Sanger / Illumina 1.9	90	94342369	7	36	80.51260302569604	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL
PI_248515_1	Sanger / Illumina 1.9	90	76633105	5	34	84.59302025553184	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_248515_2	Sanger / Illumina 1.9	90	76633105	5	34	86.76971752371946	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_366121_1	Sanger / Illumina 1.9	90	76637159	5	34	84.62219767326255	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_366121_2	Sanger / Illumina 1.9	90	76637159	5	34	87.13306096807936	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_378702_1	Sanger / Illumina 1.9	90	76733769	5	35	83.50436124161573	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_378702_2	Sanger / Illumina 1.9	90	76733769	5	35	89.34394875115062	WARN	FAIL	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_398593_1	Sanger / Illumina 1.9	90	75264678	5	35	84.51345006533155	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_398593_2	Sanger / Illumina 1.9	90	75264678	5	35	85.32521900965347	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_398595_1	Sanger / Illumina 1.9	90	75473787	5	35	81.01240953869448	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_398595_2	Sanger / Illumina 1.9	90	75473787	5	35	81.89102113338592	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_398610_1	Sanger / Illumina 1.9	90	75359654	5	35	81.67995656525648	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_398610_2	Sanger / Illumina 1.9	90	75359654	5	35	82.4523812512119	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_398614_1	Sanger / Illumina 1.9	90	75240818	5	35	79.55376595503745	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_398614_2	Sanger / Illumina 1.9	90	75240818	5	35	80.79407997575544	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_404166_1	Sanger / Illumina 1.9	90	99914152	7	36	79.53974393525282	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_404166_2	Sanger / Illumina 1.9	90	99914152	7	36	80.45414784773425	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_404198B_1	Sanger / Illumina 1.9	90	89425484	6	36	81.0984873879453	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_404198B_2	Sanger / Illumina 1.9	90	89425484	6	36	81.96165477559202	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_407162-soja_1	Sanger / Illumina 1.9	90	76514480	5	34	85.21631084140519	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_407162-soja_2	Sanger / Illumina 1.9	90	76514480	5	35	86.0522569875739	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_407184_1	Sanger / Illumina 1.9	90	76664351	5	35	80.13971680233254	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_407184_2	Sanger / Illumina 1.9	90	76664351	5	35	81.08067457649841	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_407729_1	Sanger / Illumina 1.9	90	76635080	5	35	82.65030873349352	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
PI_407729_2	Sanger / Illumina 1.9	90	76635080	5	35	83.2308867287424	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
