Sample name	Encoding	Read length	Number of reads	Read depth	%GC	Deduplicated percentage	Per base sequence quality	Per tile sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence length distribution	Sequence duplication levels	Overrepresented sequences	Adapter content	Kmer content
1R36C56Cdbbr418MN13_R1_CAT	Sanger / Illumina 1.9	126	87405160	9	39	70.44586691925478	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	FAIL
1R36C56Cdbbr418MN13_R2_CAT	Sanger / Illumina 1.9	126	87405160	9	39	71.89007894629562	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	FAIL
2012BM7F068_R1_CAT	Sanger / Illumina 1.9	101	161133280	13	35	70.50963829001958	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL
2012BM7F068_R2_CAT	Sanger / Illumina 1.9	101	161133280	13	35	71.60786714002532	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
2012BM7F223_R1_CAT	Sanger / Illumina 1.9	101	151138613	12	35	71.16294241319653	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL
2012BM7F223_R2_CAT	Sanger / Illumina 1.9	101	151138613	12	35	72.14066753187775	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
2012CM7F040P05_R1_CAT	Sanger / Illumina 1.9	101	152693336	12	35	76.29131050846762	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL
2012CM7F040P05_R2_CAT	Sanger / Illumina 1.9	101	152693336	12	35	76.56093661213772	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
2012CM7F040P06_R1_CAT	Sanger / Illumina 1.9	101	213075409	17	35	71.18640584669065	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
2012CM7F040P06_R2_CAT	Sanger / Illumina 1.9	101	213075409	17	35	71.51766313615741	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
2012CM7F040P07_R1_CAT	Sanger / Illumina 1.9	101	152109465	12	35	72.26365129089271	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
2012CM7F040P07_R2_CAT	Sanger / Illumina 1.9	101	152109465	12	35	72.69992102793168	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
2012CM8F030P02_R1_CAT	Sanger / Illumina 1.9	101	148440142	12	35	71.75102860319681	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
2012CM8F030P02_R2_CAT	Sanger / Illumina 1.9	101	148440142	12	35	72.10248359090787	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
2012CM8F030P07_R1_CAT	Sanger / Illumina 1.9	101	158655123	13	35	72.25997033521219	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL
2012CM8F030P07_R2_CAT	Sanger / Illumina 1.9	101	158655123	13	35	72.74750060208099	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
2012CM8F030P09_R1_CAT	Sanger / Illumina 1.9	101	152118060	12	35	72.57339485938328	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL
2012CM8F030P09_R2_CAT	Sanger / Illumina 1.9	101	152118060	12	35	72.94727775377467	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
2012DM8F016P02_R1_CAT	Sanger / Illumina 1.9	101	157757983	13	35	73.27811253915692	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL
2012DM8F016P02_R2_CAT	Sanger / Illumina 1.9	101	157757983	13	35	73.75182539137133	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
4R30C22acr626MN13_R1_CAT	Sanger / Illumina 1.9	126	85236110	8	34	76.74665183297328	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL
