Sample name	Encoding	Read length	Number of reads	Read depth	%GC	Deduplicated percentage	Per base sequence quality	Per tile sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence length distribution	Sequence duplication levels	Overrepresented sequences	Adapter content	Kmer content
1R36C56Cdbbr418MN13__Forward_ScytheTrimmed	Sanger / Illumina 1.9	1-126	87405160	9	39	70.43589342338382	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	WARN	PASS	FAIL
1R36C56Cdbbr418MN13__Reverse_ScytheTrimmed	Sanger / Illumina 1.9	1-126	87405160	9	39	71.75509283546286	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	WARN	PASS	FAIL
2012BM7F068__Forward_ScytheTrimmed	Sanger / Illumina 1.9	1-101	161133280	13	35	70.56017108386062	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS
2012BM7F068__Reverse_ScytheTrimmed	Sanger / Illumina 1.9	1-101	161133280	13	35	71.42434732346526	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	WARN	PASS	PASS
2012BM7F223__Forward_ScytheTrimmed	Sanger / Illumina 1.9	1-101	151138613	12	35	71.19717013634478	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS
2012BM7F223__Reverse_ScytheTrimmed	Sanger / Illumina 1.9	1-101	151138613	12	35	71.96331904727512	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS
2012CM7F040P05__Forward_ScytheTrimmed	Sanger / Illumina 1.9	1-101	152693336	12	35	76.29957163812567	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS
2012CM7F040P05__Reverse_ScytheTrimmed	Sanger / Illumina 1.9	1-101	152693336	12	35	76.3557386557304	PASS	WARN	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS
2012CM7F040P06__Forward_ScytheTrimmed	Sanger / Illumina 1.9	1-101	213075409	17	35	71.20606213788191	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS
2012CM7F040P06__Reverse_ScytheTrimmed	Sanger / Illumina 1.9	1-101	213075409	17	35	71.35313492258828	PASS	PASS	PASS	PASS	PASS	PASS	WARN	PASS	WARN	PASS	PASS
