## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/scratch/corey_workspace/BASE_106_TWO/SAM_Processing/Picard/Intermediates/Sorted/FC_31721_sorted.bam] OUTPUT=/panfs/roc/scratch/corey_workspace/BASE_106_TWO/SAM_Processing/Picard/Intermediates/Deduplicated/FC_31721_deduped.bam METRICS_FILE=/panfs/roc/scratch/corey_workspace/BASE_106_TWO/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/FC_31721_deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[baseLine106_two] VERBOSITY=WARNING    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Sep 12 11:15:52 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
baseLine106_two_FC_31721	506481	80333299	328480	986449	247964	2233050	13769	0.029248	1426551444

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000167
2.0	1.945567
3.0	2.839201
4.0	3.683903
5.0	4.482351
6.0	5.237079
7.0	5.95048
8.0	6.624818
9.0	7.262231
10.0	7.864742
11.0	8.434261
12.0	8.972596
13.0	9.481452
14.0	9.962446
15.0	10.417102
16.0	10.846862
17.0	11.25309
18.0	11.637075
19.0	12.000034
20.0	12.343118
21.0	12.667416
22.0	12.973957
23.0	13.263712
24.0	13.537601
25.0	13.796494
26.0	14.04121
27.0	14.272526
28.0	14.491176
29.0	14.697853
30.0	14.893214
31.0	15.077877
32.0	15.252429
33.0	15.417423
34.0	15.573382
35.0	15.720802
36.0	15.860149
37.0	15.991866
38.0	16.116371
39.0	16.234058
40.0	16.345301
41.0	16.450453
42.0	16.549847
43.0	16.643798
44.0	16.732605
45.0	16.816549
46.0	16.895897
47.0	16.9709
48.0	17.041796
49.0	17.10881
50.0	17.172154
51.0	17.23203
52.0	17.288628
53.0	17.342126
54.0	17.392695
55.0	17.440495
56.0	17.485677
57.0	17.528386
58.0	17.568756
59.0	17.606915
60.0	17.642985
61.0	17.67708
62.0	17.709308
63.0	17.739771
64.0	17.768566
65.0	17.795784
66.0	17.821513
67.0	17.845832
68.0	17.868819
69.0	17.890548
70.0	17.911087
71.0	17.930502
72.0	17.948853
73.0	17.9662
74.0	17.982596
75.0	17.998095
76.0	18.012745
77.0	18.026593
78.0	18.039683
79.0	18.052056
80.0	18.063751
81.0	18.074806
82.0	18.085256
83.0	18.095134
84.0	18.10447
85.0	18.113296
86.0	18.121638
87.0	18.129523
88.0	18.136977
89.0	18.144022
90.0	18.150682
91.0	18.156977
92.0	18.162927
93.0	18.168552
94.0	18.173868
95.0	18.178894
96.0	18.183644
97.0	18.188134
98.0	18.192378
99.0	18.19639
100.0	18.200182

