## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/scratch/corey_workspace/BASE_106_TWO/SAM_Processing/Picard/Intermediates/Sorted/Maverick_sorted.bam] OUTPUT=/panfs/roc/scratch/corey_workspace/BASE_106_TWO/SAM_Processing/Picard/Intermediates/Deduplicated/Maverick_deduped.bam METRICS_FILE=/panfs/roc/scratch/corey_workspace/BASE_106_TWO/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/Maverick_deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[baseLine106_two] VERBOSITY=WARNING    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Sep 12 15:48:41 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
baseLine106_two_Maverick	393632	75853360	252864	778726	202724	2475956	7348	0.03389	1139732531

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000094
2.0	1.935794
3.0	2.811247
4.0	3.630332
5.0	4.396679
6.0	5.113682
7.0	5.78452
8.0	6.412164
9.0	6.999396
10.0	7.548818
11.0	8.062863
12.0	8.543811
13.0	8.993792
14.0	9.4148
15.0	9.8087
16.0	10.177239
17.0	10.522047
18.0	10.844655
19.0	11.146491
20.0	11.428892
21.0	11.693111
22.0	11.940317
23.0	12.171606
24.0	12.388003
25.0	12.590467
26.0	12.779895
27.0	12.957126
28.0	13.122945
29.0	13.278088
30.0	13.423242
31.0	13.55905
32.0	13.686113
33.0	13.804995
34.0	13.916223
35.0	14.020289
36.0	14.117654
37.0	14.20875
38.0	14.293981
39.0	14.373724
40.0	14.448333
41.0	14.518138
42.0	14.583448
43.0	14.644553
44.0	14.701724
45.0	14.755214
46.0	14.805259
47.0	14.852083
48.0	14.895891
49.0	14.936879
50.0	14.975227
51.0	15.011107
52.0	15.044676
53.0	15.076084
54.0	15.10547
55.0	15.132963
56.0	15.158687
57.0	15.182754
58.0	15.205271
59.0	15.226339
60.0	15.24605
61.0	15.264492
62.0	15.281747
63.0	15.29789
64.0	15.312994
65.0	15.327126
66.0	15.340348
67.0	15.352718
68.0	15.364292
69.0	15.375121
70.0	15.385252
71.0	15.394731
72.0	15.4036
73.0	15.411898
74.0	15.419661
75.0	15.426925
76.0	15.433721
77.0	15.440079
78.0	15.446028
79.0	15.451594
80.0	15.456802
81.0	15.461674
82.0	15.466233
83.0	15.470498
84.0	15.474488
85.0	15.478221
86.0	15.481715
87.0	15.484983
88.0	15.48804
89.0	15.490901
90.0	15.493578
91.0	15.496082
92.0	15.498425
93.0	15.500618
94.0	15.502669
95.0	15.504588
96.0	15.506383
97.0	15.508063
98.0	15.509635
99.0	15.511105
100.0	15.512481

