## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/scratch/corey_workspace/BASE_106_TWO/SAM_Processing/Picard/Intermediates/Sorted/PI_079691-4_sorted.bam] OUTPUT=/panfs/roc/scratch/corey_workspace/BASE_106_TWO/SAM_Processing/Picard/Intermediates/Deduplicated/PI_079691-4_deduped.bam METRICS_FILE=/panfs/roc/scratch/corey_workspace/BASE_106_TWO/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/PI_079691-4_deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[baseLine106_two] VERBOSITY=WARNING    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Sep 12 16:03:20 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
baseLine106_two_PI_079691-4	534193	75781272	336938	972567	282510	2814575	8293	0.038868	997563924

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000105
2.0	1.92705
3.0	2.786187
4.0	3.582476
5.0	4.320514
6.0	5.004562
7.0	5.638571
8.0	6.2262
9.0	6.770843
10.0	7.275643
11.0	7.743517
12.0	8.177164
13.0	8.579088
14.0	8.951611
15.0	9.296883
16.0	9.616897
17.0	9.913502
18.0	10.188409
19.0	10.443206
20.0	10.679363
21.0	10.898246
22.0	11.101116
23.0	11.289146
24.0	11.463421
25.0	11.624948
26.0	11.774658
27.0	11.913417
28.0	12.042025
29.0	12.161225
30.0	12.271705
31.0	12.374103
32.0	12.469011
33.0	12.556976
34.0	12.638506
35.0	12.714072
36.0	12.78411
37.0	12.849025
38.0	12.90919
39.0	12.964955
40.0	13.01664
41.0	13.064545
42.0	13.108945
43.0	13.150097
44.0	13.188239
45.0	13.22359
46.0	13.256356
47.0	13.286724
48.0	13.314871
49.0	13.340959
50.0	13.365139
51.0	13.38755
52.0	13.408321
53.0	13.427573
54.0	13.445417
55.0	13.461955
56.0	13.477284
57.0	13.491491
58.0	13.504659
59.0	13.516863
60.0	13.528175
61.0	13.538659
62.0	13.548377
63.0	13.557383
64.0	13.565731
65.0	13.573468
66.0	13.580639
67.0	13.587285
68.0	13.593446
69.0	13.599155
70.0	13.604447
71.0	13.609352
72.0	13.613898
73.0	13.618111
74.0	13.622017
75.0	13.625636
76.0	13.628991
77.0	13.6321
78.0	13.634982
79.0	13.637653
80.0	13.640129
81.0	13.642424
82.0	13.64455
83.0	13.646522
84.0	13.648349
85.0	13.650042
86.0	13.651611
87.0	13.653066
88.0	13.654414
89.0	13.655664
90.0	13.656822
91.0	13.657895
92.0	13.65889
93.0	13.659812
94.0	13.660667
95.0	13.661459
96.0	13.662194
97.0	13.662874
98.0	13.663505
99.0	13.664089
100.0	13.664631

