## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/scratch/corey_workspace/BASE_106_TWO/SAM_Processing/Picard/Intermediates/Sorted/PI_090763_sorted.bam] OUTPUT=/panfs/roc/scratch/corey_workspace/BASE_106_TWO/SAM_Processing/Picard/Intermediates/Deduplicated/PI_090763_deduped.bam METRICS_FILE=/panfs/roc/scratch/corey_workspace/BASE_106_TWO/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/PI_090763_deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[baseLine106_two] VERBOSITY=WARNING    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Sep 12 19:46:57 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
baseLine106_two_PI_090763	729074	86253999	412064	1425564	443774	2938564	12041	0.036487	1241822924

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000135
2.0	1.93316
3.0	2.80358
4.0	3.615593
5.0	4.373121
6.0	5.079818
7.0	5.739096
8.0	6.354136
9.0	6.927906
10.0	7.463176
11.0	7.96253
12.0	8.428377
13.0	8.862965
14.0	9.268393
15.0	9.646616
16.0	9.99946
17.0	10.328628
18.0	10.635709
19.0	10.922185
20.0	11.189438
21.0	11.438758
22.0	11.671349
23.0	11.888333
24.0	12.090758
25.0	12.279599
26.0	12.455769
27.0	12.620119
28.0	12.77344
29.0	12.916473
30.0	13.049909
31.0	13.174391
32.0	13.290521
33.0	13.398858
34.0	13.499926
35.0	13.594212
36.0	13.682171
37.0	13.764228
38.0	13.84078
39.0	13.912194
40.0	13.978817
41.0	14.040969
42.0	14.098951
43.0	14.153042
44.0	14.203504
45.0	14.25058
46.0	14.294497
47.0	14.335467
48.0	14.373688
49.0	14.409344
50.0	14.442608
51.0	14.47364
52.0	14.502589
53.0	14.529596
54.0	14.554791
55.0	14.578295
56.0	14.600222
57.0	14.620678
58.0	14.639761
59.0	14.657564
60.0	14.674172
61.0	14.689666
62.0	14.70412
63.0	14.717604
64.0	14.730184
65.0	14.741919
66.0	14.752867
67.0	14.76308
68.0	14.772608
69.0	14.781497
70.0	14.789789
71.0	14.797525
72.0	14.804742
73.0	14.811474
74.0	14.817755
75.0	14.823614
76.0	14.82908
77.0	14.83418
78.0	14.838937
79.0	14.843375
80.0	14.847515
81.0	14.851377
82.0	14.854981
83.0	14.858342
84.0	14.861478
85.0	14.864403
86.0	14.867133
87.0	14.869679
88.0	14.872054
89.0	14.87427
90.0	14.876337
91.0	14.878265
92.0	14.880064
93.0	14.881743
94.0	14.883308
95.0	14.884769
96.0	14.886132
97.0	14.887403
98.0	14.888589
99.0	14.889695
100.0	14.890727

