## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Sorted/PI_398610_sorted.bam] OUTPUT=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Deduplicated/PI_398610_deduped.bam METRICS_FILE=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/PI_398610_deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[baseLine106] VERBOSITY=WARNING    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 07 14:58:49 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
baseLine106_PI_398610	597628	74464214	325453	1193252	352227	2947424	7993	0.041779	918007959

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000103
2.0	1.922286
3.0	2.772619
4.0	3.556701
5.0	4.279693
6.0	4.946355
7.0	5.561076
8.0	6.127902
9.0	6.650566
10.0	7.132508
11.0	7.576901
12.0	7.986669
13.0	8.364512
14.0	8.712917
15.0	9.034176
16.0	9.330405
17.0	9.603554
18.0	9.855422
19.0	10.087666
20.0	10.301815
21.0	10.499279
22.0	10.681359
23.0	10.849252
24.0	11.004064
25.0	11.146815
26.0	11.278443
27.0	11.399816
28.0	11.511733
29.0	11.61493
30.0	11.710086
31.0	11.797829
32.0	11.878735
33.0	11.953338
34.0	12.022129
35.0	12.085559
36.0	12.144048
37.0	12.19798
38.0	12.247709
39.0	12.293565
40.0	12.335847
41.0	12.374835
42.0	12.410786
43.0	12.443935
44.0	12.474502
45.0	12.502687
46.0	12.528677
47.0	12.552641
48.0	12.574738
49.0	12.595114
50.0	12.613902
51.0	12.631226
52.0	12.647201
53.0	12.661931
54.0	12.675513
55.0	12.688037
56.0	12.699585
57.0	12.710234
58.0	12.720052
59.0	12.729106
60.0	12.737455
61.0	12.745153
62.0	12.752251
63.0	12.758796
64.0	12.764831
65.0	12.770396
66.0	12.775528
67.0	12.780259
68.0	12.784622
69.0	12.788645
70.0	12.792355
71.0	12.795776
72.0	12.79893
73.0	12.801838
74.0	12.80452
75.0	12.806993
76.0	12.809273
77.0	12.811375
78.0	12.813314
79.0	12.815101
80.0	12.81675
81.0	12.81827
82.0	12.819671
83.0	12.820964
84.0	12.822155
85.0	12.823254
86.0	12.824267
87.0	12.825201
88.0	12.826063
89.0	12.826857
90.0	12.82759
91.0	12.828265
92.0	12.828888
93.0	12.829462
94.0	12.829991
95.0	12.83048
96.0	12.83093
97.0	12.831345
98.0	12.831728
99.0	12.832081
100.0	12.832406

