## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Sorted/PI_404198B_sorted.bam] OUTPUT=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Deduplicated/PI_404198B_deduped.bam METRICS_FILE=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/PI_404198B_deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[baseLine106] VERBOSITY=WARNING    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 07 15:58:05 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
baseLine106_PI_404198B	565863	88603298	376129	1078509	298387	1659618	15638	0.02035	2357199997

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000173
2.0	1.963449
3.0	2.89119
4.0	3.784705
5.0	4.645258
6.0	5.474064
7.0	6.272295
8.0	7.041079
9.0	7.781502
10.0	8.49461
11.0	9.181412
12.0	9.842876
13.0	10.479939
14.0	11.0935
15.0	11.684426
16.0	12.253553
17.0	12.801684
18.0	13.329594
19.0	13.83803
20.0	14.327708
21.0	14.799322
22.0	15.253538
23.0	15.690998
24.0	16.112319
25.0	16.518098
26.0	16.908907
27.0	17.285299
28.0	17.647806
29.0	17.996939
30.0	18.333193
31.0	18.657042
32.0	18.968944
33.0	19.26934
34.0	19.558654
35.0	19.837295
36.0	20.105656
37.0	20.364118
38.0	20.613045
39.0	20.852788
40.0	21.083688
41.0	21.306069
42.0	21.520247
43.0	21.726523
44.0	21.92519
45.0	22.116528
46.0	22.300807
47.0	22.478288
48.0	22.649222
49.0	22.813849
50.0	22.972404
51.0	23.125109
52.0	23.272181
53.0	23.413827
54.0	23.550248
55.0	23.681637
56.0	23.808178
57.0	23.930051
58.0	24.047428
59.0	24.160475
60.0	24.269351
61.0	24.374211
62.0	24.475203
63.0	24.572469
64.0	24.666147
65.0	24.756369
66.0	24.843263
67.0	24.926951
68.0	25.007551
69.0	25.085179
70.0	25.159942
71.0	25.231948
72.0	25.301297
73.0	25.368088
74.0	25.432415
75.0	25.494369
76.0	25.554037
77.0	25.611504
78.0	25.666851
79.0	25.720156
80.0	25.771495
81.0	25.82094
82.0	25.868561
83.0	25.914425
84.0	25.958597
85.0	26.00114
86.0	26.042113
87.0	26.081575
88.0	26.119581
89.0	26.156184
90.0	26.191438
91.0	26.225391
92.0	26.258091
93.0	26.289585
94.0	26.319917
95.0	26.349131
96.0	26.377266
97.0	26.404364
98.0	26.430462
99.0	26.455597
100.0	26.479805

