## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Sorted/PI_407162-soja_sorted.bam] OUTPUT=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Deduplicated/PI_407162-soja_deduped.bam METRICS_FILE=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/PI_407162-soja_deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[baseLine106] VERBOSITY=WARNING    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 07 17:37:20 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
baseLine106_PI_407162-soja	411487	75913234	344604	791005	98382	2890970	9470	0.038626	974254473

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.00012
2.0	1.92527
3.0	2.78107
4.0	3.572718
5.0	4.305024
6.0	4.982435
7.0	5.609067
8.0	6.188726
9.0	6.724934
10.0	7.220946
11.0	7.679777
12.0	8.104214
13.0	8.496835
14.0	8.860024
15.0	9.195988
16.0	9.506768
17.0	9.794252
18.0	10.060186
19.0	10.306185
20.0	10.533744
21.0	10.744244
22.0	10.938966
23.0	11.119091
24.0	11.285713
25.0	11.439846
26.0	11.582424
27.0	11.714315
28.0	11.836319
29.0	11.949177
30.0	12.053576
31.0	12.150148
32.0	12.239482
33.0	12.322119
34.0	12.398561
35.0	12.469274
36.0	12.534685
37.0	12.595193
38.0	12.651166
39.0	12.702943
40.0	12.750838
41.0	12.795143
42.0	12.836128
43.0	12.874039
44.0	12.909109
45.0	12.94155
46.0	12.97156
47.0	12.999319
48.0	13.024998
49.0	13.048752
50.0	13.070726
51.0	13.091052
52.0	13.109854
53.0	13.127247
54.0	13.143337
55.0	13.15822
56.0	13.171987
57.0	13.184723
58.0	13.196504
59.0	13.207401
60.0	13.217482
61.0	13.226807
62.0	13.235434
63.0	13.243413
64.0	13.250794
65.0	13.257622
66.0	13.263939
67.0	13.269781
68.0	13.275186
69.0	13.280186
70.0	13.284811
71.0	13.289089
72.0	13.293046
73.0	13.296707
74.0	13.300094
75.0	13.303226
76.0	13.306124
77.0	13.308804
78.0	13.311284
79.0	13.313578
80.0	13.315699
81.0	13.317662
82.0	13.319478
83.0	13.321157
84.0	13.322711
85.0	13.324148
86.0	13.325477
87.0	13.326707
88.0	13.327845
89.0	13.328897
90.0	13.32987
91.0	13.330771
92.0	13.331604
93.0	13.332374
94.0	13.333087
95.0	13.333746
96.0	13.334356
97.0	13.33492
98.0	13.335442
99.0	13.335925
100.0	13.336372

