## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Sorted/PI_407788A_sorted.bam] OUTPUT=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Deduplicated/PI_407788A_deduped.bam METRICS_FILE=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/PI_407788A_deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[baseLine106] VERBOSITY=WARNING    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 07 18:38:43 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
baseLine106_PI_407788A	697548	91375577	375692	1718660	419067	2569551	11879	0.030298	1601222091

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000126
2.0	1.944777
3.0	2.83703
4.0	3.679791
5.0	4.475805
6.0	5.227665
7.0	5.937822
8.0	6.608586
9.0	7.242145
10.0	7.840561
11.0	8.405784
12.0	8.939655
13.0	9.443913
14.0	9.9202
15.0	10.370069
16.0	10.794984
17.0	11.19633
18.0	11.575413
19.0	11.93347
20.0	12.271666
21.0	12.591102
22.0	12.89282
23.0	13.177802
24.0	13.446977
25.0	13.701221
26.0	13.941362
27.0	14.168183
28.0	14.382423
29.0	14.584779
30.0	14.775911
31.0	14.956441
32.0	15.126957
33.0	15.288015
34.0	15.44014
35.0	15.583826
36.0	15.719542
37.0	15.847731
38.0	15.968808
39.0	16.08317
40.0	16.191189
41.0	16.293216
42.0	16.389583
43.0	16.480605
44.0	16.566579
45.0	16.647783
46.0	16.724484
47.0	16.796929
48.0	16.865357
49.0	16.929988
50.0	16.991035
51.0	17.048696
52.0	17.103158
53.0	17.154599
54.0	17.203187
55.0	17.24908
56.0	17.292428
57.0	17.33337
58.0	17.372042
59.0	17.408569
60.0	17.44307
61.0	17.475657
62.0	17.506436
63.0	17.535508
64.0	17.562968
65.0	17.588904
66.0	17.613402
67.0	17.636541
68.0	17.658396
69.0	17.679039
70.0	17.698538
71.0	17.716954
72.0	17.734349
73.0	17.750779
74.0	17.766298
75.0	17.780956
76.0	17.794801
77.0	17.807878
78.0	17.82023
79.0	17.831896
80.0	17.842916
81.0	17.853324
82.0	17.863155
83.0	17.87244
84.0	17.881211
85.0	17.889495
86.0	17.897319
87.0	17.90471
88.0	17.91169
89.0	17.918283
90.0	17.924511
91.0	17.930393
92.0	17.935949
93.0	17.941197
94.0	17.946154
95.0	17.950835
96.0	17.955257
97.0	17.959434
98.0	17.963379
99.0	17.967105
100.0	17.970625

