## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Sorted/PI_424608A_sorted.bam] OUTPUT=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Deduplicated/PI_424608A_deduped.bam METRICS_FILE=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/PI_424608A_deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[baseLine106] VERBOSITY=WARNING    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Sep 08 01:28:14 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
baseLine106_PI_424608A	511191	74787420	317218	1047653	267529	1462271	10292	0.021268	1900509219

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000135
2.0	1.961678
3.0	2.886117
4.0	3.774885
5.0	4.629359
6.0	5.45086
7.0	6.240663
8.0	6.999989
9.0	7.730015
10.0	8.431871
11.0	9.106645
12.0	9.755382
13.0	10.379085
14.0	10.978722
15.0	11.55522
16.0	12.109473
17.0	12.642339
18.0	13.154644
19.0	13.64718
20.0	14.12071
21.0	14.575969
22.0	15.01366
23.0	15.434462
24.0	15.839027
25.0	16.22798
26.0	16.601925
27.0	16.961441
28.0	17.307084
29.0	17.63939
30.0	17.958873
31.0	18.266028
32.0	18.561331
33.0	18.845238
34.0	19.118191
35.0	19.380612
36.0	19.632906
37.0	19.875465
38.0	20.108664
39.0	20.332865
40.0	20.548415
41.0	20.755647
42.0	20.954883
43.0	21.146431
44.0	21.330587
45.0	21.507638
46.0	21.677856
47.0	21.841507
48.0	21.998843
49.0	22.150107
50.0	22.295535
51.0	22.435351
52.0	22.569772
53.0	22.699006
54.0	22.823253
55.0	22.942706
56.0	23.05755
57.0	23.167962
58.0	23.274113
59.0	23.376169
60.0	23.474286
61.0	23.568618
62.0	23.659309
63.0	23.746501
64.0	23.830329
65.0	23.910922
66.0	23.988405
67.0	24.062898
68.0	24.134517
69.0	24.203372
70.0	24.26957
71.0	24.333214
72.0	24.394402
73.0	24.453229
74.0	24.509786
75.0	24.56416
76.0	24.616437
77.0	24.666696
78.0	24.715016
79.0	24.761472
80.0	24.806134
81.0	24.849074
82.0	24.890356
83.0	24.930046
84.0	24.968204
85.0	25.004889
86.0	25.040159
87.0	25.074069
88.0	25.106669
89.0	25.138012
90.0	25.168145
91.0	25.197115
92.0	25.224968
93.0	25.251746
94.0	25.27749
95.0	25.302242
96.0	25.326038
97.0	25.348916
98.0	25.370911
99.0	25.392057
100.0	25.412387

