## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Sorted/PI_437690_sorted.bam] OUTPUT=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Deduplicated/PI_437690_deduped.bam METRICS_FILE=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/PI_437690_deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[baseLine106] VERBOSITY=WARNING    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Sep 08 05:00:42 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
baseLine106_PI_437690	755403	85889017	422432	1515189	447053	2758273	9476	0.034565	1312767808

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000107
2.0	1.936875
3.0	2.814317
4.0	3.636188
5.0	4.40601
6.0	5.127077
7.0	5.802478
8.0	6.435105
9.0	7.027667
10.0	7.5827
11.0	8.102583
12.0	8.589541
13.0	9.045658
14.0	9.47289
15.0	9.873064
16.0	10.247894
17.0	10.598986
18.0	10.927842
19.0	11.235872
20.0	11.524393
21.0	11.794643
22.0	12.047776
23.0	12.284879
24.0	12.506965
25.0	12.714986
26.0	12.909833
27.0	13.09234
28.0	13.263289
29.0	13.423411
30.0	13.573392
31.0	13.713875
32.0	13.845461
33.0	13.968713
34.0	14.08416
35.0	14.192295
36.0	14.293582
37.0	14.388454
38.0	14.477317
39.0	14.560553
40.0	14.638518
41.0	14.711544
42.0	14.779946
43.0	14.844016
44.0	14.904028
45.0	14.96024
46.0	15.012891
47.0	15.062209
48.0	15.108402
49.0	15.151671
50.0	15.192199
51.0	15.23016
52.0	15.265717
53.0	15.299022
54.0	15.330218
55.0	15.359439
56.0	15.386808
57.0	15.412445
58.0	15.436457
59.0	15.458949
60.0	15.480017
61.0	15.49975
62.0	15.518234
63.0	15.535547
64.0	15.551763
65.0	15.566953
66.0	15.58118
67.0	15.594507
68.0	15.606989
69.0	15.618681
70.0	15.629633
71.0	15.639891
72.0	15.649499
73.0	15.658499
74.0	15.666928
75.0	15.674824
76.0	15.68222
77.0	15.689148
78.0	15.695636
79.0	15.701714
80.0	15.707407
81.0	15.712739
82.0	15.717734
83.0	15.722412
84.0	15.726794
85.0	15.730899
86.0	15.734743
87.0	15.738345
88.0	15.741718
89.0	15.744877
90.0	15.747836
91.0	15.750608
92.0	15.753204
93.0	15.755636
94.0	15.757914
95.0	15.760048
96.0	15.762046
97.0	15.763918
98.0	15.765672
99.0	15.767314
100.0	15.768852

