## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Sorted/PI_464920B_sorted.bam] OUTPUT=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Deduplicated/PI_464920B_deduped.bam METRICS_FILE=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/PI_464920B_deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[baseLine106] VERBOSITY=WARNING    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Sep 08 10:30:26 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
baseLine106_PI_464920B	504000	76735187	300494	986200	253489	2639821	10163	0.035935	1093571776

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000128
2.0	1.932483
3.0	2.801658
4.0	3.611934
5.0	4.367303
6.0	5.071485
7.0	5.727948
8.0	6.339927
9.0	6.910436
10.0	7.442285
11.0	7.938093
12.0	8.400304
13.0	8.831193
14.0	9.232884
15.0	9.607354
16.0	9.956449
17.0	10.281888
18.0	10.585273
19.0	10.8681
20.0	11.131762
21.0	11.377557
22.0	11.606695
23.0	11.820307
24.0	12.019443
25.0	12.205085
26.0	12.378147
27.0	12.539481
28.0	12.689883
29.0	12.830093
30.0	12.960802
31.0	13.082654
32.0	13.196248
33.0	13.302145
34.0	13.400866
35.0	13.492897
36.0	13.578692
37.0	13.658672
38.0	13.733234
39.0	13.802742
40.0	13.86754
41.0	13.927948
42.0	13.984262
43.0	14.036759
44.0	14.0857
45.0	14.131324
46.0	14.173856
47.0	14.213506
48.0	14.250469
49.0	14.284928
50.0	14.317051
51.0	14.346998
52.0	14.374915
53.0	14.400941
54.0	14.425203
55.0	14.447821
56.0	14.468906
57.0	14.488562
58.0	14.506887
59.0	14.523969
60.0	14.539894
61.0	14.55474
62.0	14.56858
63.0	14.581482
64.0	14.59351
65.0	14.604723
66.0	14.615175
67.0	14.62492
68.0	14.634004
69.0	14.642473
70.0	14.650368
71.0	14.657727
72.0	14.664588
73.0	14.670985
74.0	14.676947
75.0	14.682506
76.0	14.687688
77.0	14.692519
78.0	14.697022
79.0	14.70122
80.0	14.705134
81.0	14.708783
82.0	14.712184
83.0	14.715355
84.0	14.718311
85.0	14.721067
86.0	14.723636
87.0	14.72603
88.0	14.728263
89.0	14.730344
90.0	14.732285
91.0	14.734093
92.0	14.735779
93.0	14.737351
94.0	14.738817
95.0	14.740183
96.0	14.741456
97.0	14.742644
98.0	14.743751
99.0	14.744782
100.0	14.745744

