## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Sorted/PI_483463-soja_sorted.bam] OUTPUT=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Deduplicated/PI_483463-soja_deduped.bam METRICS_FILE=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/PI_483463-soja_deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[baseLine106] VERBOSITY=WARNING    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Sep 08 14:51:03 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
baseLine106_PI_483463-soja	585200	75108023	431583	1314124	222223	2085207	9167	0.029129	1333166335

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000119
2.0	1.94545
3.0	2.838996
4.0	3.683593
5.0	4.481923
6.0	5.23652
7.0	5.94978
8.0	6.623966
9.0	7.261221
10.0	7.863567
11.0	8.432915
12.0	8.971075
13.0	9.479754
14.0	9.960567
15.0	10.415041
16.0	10.844619
17.0	11.250664
18.0	11.634466
19.0	11.997243
20.0	12.340147
21.0	12.664267
22.0	12.970631
23.0	13.260213
24.0	13.53393
25.0	13.792654
26.0	14.037205
27.0	14.268359
28.0	14.48685
29.0	14.693372
30.0	14.888581
31.0	15.073096
32.0	15.247503
33.0	15.412357
34.0	15.568179
35.0	15.715466
36.0	15.854684
37.0	15.986275
38.0	16.110658
39.0	16.228227
40.0	16.339356
41.0	16.444397
42.0	16.543684
43.0	16.637532
44.0	16.726239
45.0	16.810086
46.0	16.88934
47.0	16.964253
48.0	17.035062
49.0	17.101992
50.0	17.165255
51.0	17.225053
52.0	17.281575
53.0	17.335001
54.0	17.3855
55.0	17.433233
56.0	17.478351
57.0	17.520997
58.0	17.561307
59.0	17.599409
60.0	17.635424
61.0	17.669466
62.0	17.701643
63.0	17.732057
64.0	17.760805
65.0	17.787979
66.0	17.813663
67.0	17.837941
68.0	17.860889
69.0	17.88258
70.0	17.903082
71.0	17.922462
72.0	17.940779
73.0	17.958094
74.0	17.97446
75.0	17.989929
76.0	18.004551
77.0	18.018372
78.0	18.031435
79.0	18.043783
80.0	18.055455
81.0	18.066487
82.0	18.076915
83.0	18.086772
84.0	18.096089
85.0	18.104895
86.0	18.113219
87.0	18.121087
88.0	18.128524
89.0	18.135554
90.0	18.142198
91.0	18.148479
92.0	18.154415
93.0	18.160026
94.0	18.16533
95.0	18.170343
96.0	18.175082
97.0	18.179561
98.0	18.183795
99.0	18.187797
100.0	18.191579

