## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Sorted/PI_495017C_sorted.bam] OUTPUT=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Deduplicated/PI_495017C_deduped.bam METRICS_FILE=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/PI_495017C_deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[baseLine106] VERBOSITY=WARNING    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Sep 08 15:50:02 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
baseLine106_PI_495017C	863707	92735014	545090	1912521	553160	4273001	40983	0.048833	984001194

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000422
2.0	1.910867
3.0	2.739429
4.0	3.493471
5.0	4.179696
6.0	4.804203
7.0	5.372544
8.0	5.889768
9.0	6.360475
10.0	6.788846
11.0	7.178691
12.0	7.533474
13.0	7.856349
14.0	8.150184
15.0	8.417593
16.0	8.660951
17.0	8.882422
18.0	9.083975
19.0	9.2674
20.0	9.434328
21.0	9.586243
22.0	9.724495
23.0	9.850313
24.0	9.964815
25.0	10.069019
26.0	10.163851
27.0	10.250154
28.0	10.328695
29.0	10.400172
30.0	10.465221
31.0	10.524419
32.0	10.578294
33.0	10.627322
34.0	10.671942
35.0	10.712548
36.0	10.749502
37.0	10.783133
38.0	10.813739
39.0	10.841592
40.0	10.86694
41.0	10.890008
42.0	10.911002
43.0	10.930108
44.0	10.947495
45.0	10.963318
46.0	10.977719
47.0	10.990824
48.0	11.002751
49.0	11.013604
50.0	11.023482
51.0	11.032471
52.0	11.040652
53.0	11.048097
54.0	11.054873
55.0	11.061039
56.0	11.06665
57.0	11.071757
58.0	11.076405
59.0	11.080634
60.0	11.084484
61.0	11.087986
62.0	11.091174
63.0	11.094076
64.0	11.096716
65.0	11.099119
66.0	11.101305
67.0	11.103295
68.0	11.105106
69.0	11.106755
70.0	11.108255
71.0	11.10962
72.0	11.110862
73.0	11.111992
74.0	11.113021
75.0	11.113958
76.0	11.11481
77.0	11.115585
78.0	11.116291
79.0	11.116933
80.0	11.117518
81.0	11.11805
82.0	11.118534
83.0	11.118974
84.0	11.119375
85.0	11.11974
86.0	11.120072
87.0	11.120374
88.0	11.120649
89.0	11.1209
90.0	11.121127
91.0	11.121335
92.0	11.121523
93.0	11.121695
94.0	11.121851
95.0	11.121993
96.0	11.122123
97.0	11.122241
98.0	11.122348
99.0	11.122445
100.0	11.122534

