## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Sorted/PI_567336B_sorted.bam] OUTPUT=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Deduplicated/PI_567336B_deduped.bam METRICS_FILE=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/PI_567336B_deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[baseLine106] VERBOSITY=WARNING    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 09 06:14:13 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
baseLine106_PI_567336B	602183	77160396	374817	1213111	316050	3077319	14807	0.041767	945771140

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000184
2.0	1.922009
3.0	2.771613
4.0	3.554654
5.0	4.276348
6.0	4.9415
7.0	5.554541
8.0	6.119553
9.0	6.640299
10.0	7.120247
11.0	7.562593
12.0	7.970284
13.0	8.346034
14.0	8.692346
15.0	9.011525
16.0	9.305699
17.0	9.576825
18.0	9.82671
19.0	10.057018
20.0	10.269282
21.0	10.464916
22.0	10.645223
23.0	10.811404
24.0	10.964566
25.0	11.105728
26.0	11.235831
27.0	11.35574
28.0	11.466256
29.0	11.568113
30.0	11.66199
31.0	11.748512
32.0	11.828255
33.0	11.901751
34.0	11.969489
35.0	12.03192
36.0	12.08946
37.0	12.142492
38.0	12.191369
39.0	12.236417
40.0	12.277935
41.0	12.316201
42.0	12.351469
43.0	12.383973
44.0	12.413931
45.0	12.441542
46.0	12.46699
47.0	12.490444
48.0	12.512061
49.0	12.531984
50.0	12.550346
51.0	12.56727
52.0	12.582867
53.0	12.597243
54.0	12.610493
55.0	12.622704
56.0	12.633959
57.0	12.644332
58.0	12.653892
59.0	12.662703
60.0	12.670824
61.0	12.678309
62.0	12.685207
63.0	12.691565
64.0	12.697425
65.0	12.702825
66.0	12.707803
67.0	12.71239
68.0	12.716619
69.0	12.720515
70.0	12.724107
71.0	12.727417
72.0	12.730468
73.0	12.73328
74.0	12.735872
75.0	12.73826
76.0	12.740462
77.0	12.74249
78.0	12.74436
79.0	12.746084
80.0	12.747672
81.0	12.749136
82.0	12.750486
83.0	12.751729
84.0	12.752875
85.0	12.753932
86.0	12.754905
87.0	12.755803
88.0	12.75663
89.0	12.757392
90.0	12.758094
91.0	12.758742
92.0	12.759339
93.0	12.759889
94.0	12.760396
95.0	12.760863
96.0	12.761293
97.0	12.76169
98.0	12.762056
99.0	12.762393
100.0	12.762704

