## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Sorted/PI_567516C_sorted.bam] OUTPUT=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Deduplicated/PI_567516C_deduped.bam METRICS_FILE=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/PI_567516C_deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[baseLine106] VERBOSITY=WARNING    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 09 10:02:08 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
baseLine106_PI_567516C	644684	80187316	359687	1150894	282243	1847216	7058	0.024697	1719996315

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000086
2.0	1.954617
3.0	2.86567
4.0	3.735223
5.0	4.565167
6.0	5.357307
7.0	6.113364
8.0	6.834983
9.0	7.523732
10.0	8.181107
11.0	8.808539
12.0	9.407391
13.0	9.978965
14.0	10.524503
15.0	11.045192
16.0	11.542163
17.0	12.016497
18.0	12.469224
19.0	12.90133
20.0	13.313753
21.0	13.707389
22.0	14.083096
23.0	14.441689
24.0	14.783947
25.0	15.110616
26.0	15.422404
27.0	15.719991
28.0	16.004022
29.0	16.275116
30.0	16.53386
31.0	16.780819
32.0	17.016529
33.0	17.241502
34.0	17.456228
35.0	17.661173
36.0	17.856782
37.0	18.043481
38.0	18.221676
39.0	18.391754
40.0	18.554085
41.0	18.709021
42.0	18.856901
43.0	18.998044
44.0	19.132758
45.0	19.261335
46.0	19.384056
47.0	19.501187
48.0	19.612983
49.0	19.719686
50.0	19.821529
51.0	19.918732
52.0	20.011509
53.0	20.100059
54.0	20.184575
55.0	20.265242
56.0	20.342234
57.0	20.41572
58.0	20.485858
59.0	20.552801
60.0	20.616695
61.0	20.677678
62.0	20.735884
63.0	20.791438
64.0	20.844462
65.0	20.895071
66.0	20.943374
67.0	20.989477
68.0	21.03348
69.0	21.075479
70.0	21.115565
71.0	21.153824
72.0	21.190341
73.0	21.225195
74.0	21.258461
75.0	21.290211
76.0	21.320516
77.0	21.34944
78.0	21.377046
79.0	21.403395
80.0	21.428544
81.0	21.452548
82.0	21.475458
83.0	21.497324
84.0	21.518194
85.0	21.538114
86.0	21.557126
87.0	21.575273
88.0	21.592592
89.0	21.609123
90.0	21.624901
91.0	21.63996
92.0	21.654333
93.0	21.668052
94.0	21.681145
95.0	21.693642
96.0	21.70557
97.0	21.716955
98.0	21.727821
99.0	21.738192
100.0	21.748091

