## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Sorted/PI_593258_sorted.bam] OUTPUT=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Deduplicated/PI_593258_deduped.bam METRICS_FILE=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/PI_593258_deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[baseLine106] VERBOSITY=WARNING    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 09 15:53:42 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
baseLine106_PI_593258	436923	76210916	273868	830061	249820	5057929	9872	0.067812	549440921

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000121
2.0	1.87071
3.0	2.628543
4.0	3.288224
5.0	3.862466
6.0	4.362335
7.0	4.797462
8.0	5.176233
9.0	5.505947
10.0	5.792957
11.0	6.042796
12.0	6.260276
13.0	6.449588
14.0	6.614382
15.0	6.757832
16.0	6.882703
17.0	6.991401
18.0	7.086021
19.0	7.168387
20.0	7.240084
21.0	7.302496
22.0	7.356824
23.0	7.404116
24.0	7.445282
25.0	7.481117
26.0	7.512311
27.0	7.539465
28.0	7.563102
29.0	7.583677
30.0	7.601588
31.0	7.617179
32.0	7.63075
33.0	7.642564
34.0	7.652848
35.0	7.6618
36.0	7.669592
37.0	7.676376
38.0	7.68228
39.0	7.68742
40.0	7.691894
41.0	7.695789
42.0	7.699179
43.0	7.702131
44.0	7.7047
45.0	7.706936
46.0	7.708882
47.0	7.710577
48.0	7.712052
49.0	7.713336
50.0	7.714454
51.0	7.715427
52.0	7.716273
53.0	7.717011
54.0	7.717652
55.0	7.718211
56.0	7.718697
57.0	7.719121
58.0	7.719489
59.0	7.71981
60.0	7.720089
61.0	7.720332
62.0	7.720544
63.0	7.720728
64.0	7.720888
65.0	7.721028
66.0	7.721149
67.0	7.721255
68.0	7.721347
69.0	7.721427
70.0	7.721497
71.0	7.721558
72.0	7.72161
73.0	7.721656
74.0	7.721696
75.0	7.721731
76.0	7.721762
77.0	7.721788
78.0	7.721811
79.0	7.721831
80.0	7.721849
81.0	7.721864
82.0	7.721877
83.0	7.721888
84.0	7.721898
85.0	7.721907
86.0	7.721915
87.0	7.721921
88.0	7.721927
89.0	7.721932
90.0	7.721936
91.0	7.72194
92.0	7.721943
93.0	7.721946
94.0	7.721949
95.0	7.721951
96.0	7.721953
97.0	7.721955
98.0	7.721956
99.0	7.721957
100.0	7.721958

