## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Sorted/PI_603176A_sorted.bam] OUTPUT=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Deduplicated/PI_603176A_deduped.bam METRICS_FILE=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/PI_603176A_deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[baseLine106] VERBOSITY=WARNING    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Sep 09 20:59:17 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
baseLine106_PI_603176A	562914	76075504	316800	1158946	316291	2662466	11126	0.03694	1065601792

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000141
2.0	1.931369
3.0	2.798433
4.0	3.605753
5.0	4.357446
6.0	5.057345
7.0	5.709019
8.0	6.31579
9.0	6.880753
10.0	7.406788
11.0	7.896578
12.0	8.352619
13.0	8.777238
14.0	9.172599
15.0	9.540718
16.0	9.883473
17.0	10.202611
18.0	10.49976
19.0	10.776433
20.0	11.034044
21.0	11.273903
22.0	11.497236
23.0	11.705181
24.0	11.898797
25.0	12.079073
26.0	12.246927
27.0	12.403215
28.0	12.548735
29.0	12.684228
30.0	12.810385
31.0	12.927849
32.0	13.03722
33.0	13.139054
34.0	13.233872
35.0	13.322157
36.0	13.404358
37.0	13.480896
38.0	13.55216
39.0	13.618514
40.0	13.680295
41.0	13.73782
42.0	13.791381
43.0	13.841252
44.0	13.887686
45.0	13.930921
46.0	13.971176
47.0	14.008658
48.0	14.043558
49.0	14.076053
50.0	14.106308
51.0	14.134479
52.0	14.160709
53.0	14.185132
54.0	14.207872
55.0	14.229045
56.0	14.248759
57.0	14.267114
58.0	14.284205
59.0	14.300119
60.0	14.314936
61.0	14.328731
62.0	14.341577
63.0	14.353537
64.0	14.364673
65.0	14.375042
66.0	14.384696
67.0	14.393686
68.0	14.402055
69.0	14.409848
70.0	14.417105
71.0	14.423861
72.0	14.430151
73.0	14.436009
74.0	14.441462
75.0	14.44654
76.0	14.451268
77.0	14.45567
78.0	14.459769
79.0	14.463585
80.0	14.467139
81.0	14.470447
82.0	14.473528
83.0	14.476397
84.0	14.479067
85.0	14.481554
86.0	14.483869
87.0	14.486025
88.0	14.488032
89.0	14.489901
90.0	14.491642
91.0	14.493262
92.0	14.494771
93.0	14.496175
94.0	14.497483
95.0	14.498701
96.0	14.499835
97.0	14.500891
98.0	14.501874
99.0	14.502789
100.0	14.503641

