## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Sorted/S07-5049_sorted.bam] OUTPUT=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Deduplicated/S07-5049_deduped.bam METRICS_FILE=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/S07-5049_deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[baseLine106] VERBOSITY=WARNING    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Sep 10 02:25:55 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
baseLine106_S07-5049	508362	74597077	257826	1519928	290931	3074080	10767	0.043013	882986931

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000138
2.0	1.919253
3.0	2.763908
4.0	3.540136
5.0	4.253479
6.0	4.909033
7.0	5.511479
8.0	6.065119
9.0	6.573907
10.0	7.041478
11.0	7.471169
12.0	7.86605
13.0	8.228941
14.0	8.562433
15.0	8.868908
16.0	9.150555
17.0	9.409385
18.0	9.647246
19.0	9.865838
20.0	10.066721
21.0	10.25133
22.0	10.420984
23.0	10.576893
24.0	10.720172
25.0	10.851843
26.0	10.972848
27.0	11.084049
28.0	11.186242
29.0	11.280156
30.0	11.366462
31.0	11.445776
32.0	11.518665
33.0	11.585648
34.0	11.647205
35.0	11.703776
36.0	11.755763
37.0	11.803539
38.0	11.847444
39.0	11.887793
40.0	11.924872
41.0	11.958948
42.0	11.990263
43.0	12.019042
44.0	12.045489
45.0	12.069793
46.0	12.092128
47.0	12.112654
48.0	12.131517
49.0	12.148852
50.0	12.164783
51.0	12.179423
52.0	12.192877
53.0	12.205241
54.0	12.216604
55.0	12.227046
56.0	12.236642
57.0	12.24546
58.0	12.253564
59.0	12.261012
60.0	12.267856
61.0	12.274146
62.0	12.279927
63.0	12.285239
64.0	12.29012
65.0	12.294606
66.0	12.298729
67.0	12.302518
68.0	12.306
69.0	12.309199
70.0	12.31214
71.0	12.314842
72.0	12.317326
73.0	12.319608
74.0	12.321705
75.0	12.323633
76.0	12.325404
77.0	12.327032
78.0	12.328528
79.0	12.329902
80.0	12.331166
81.0	12.332327
82.0	12.333394
83.0	12.334374
84.0	12.335275
85.0	12.336103
86.0	12.336864
87.0	12.337564
88.0	12.338206
89.0	12.338797
90.0	12.33934
91.0	12.339838
92.0	12.340297
93.0	12.340718
94.0	12.341105
95.0	12.341461
96.0	12.341788
97.0	12.342088
98.0	12.342365
99.0	12.342618
100.0	12.342852

