## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Sorted/V71-370_sorted.bam] OUTPUT=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Intermediates/Deduplicated/V71-370_deduped.bam METRICS_FILE=/panfs/roc/scratch/corey_workspace/BASE_106/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/V71-370_deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[baseLine106] VERBOSITY=WARNING    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Sep 10 03:25:05 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
baseLine106_V71-370	516350	74629161	302315	1077110	263715	2732439	9812	0.038248	997523117

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000127
2.0	1.92816
3.0	2.789296
4.0	3.588358
5.0	4.32982
6.0	5.017835
7.0	5.656254
8.0	6.248653
9.0	6.798349
10.0	7.308421
11.0	7.781725
12.0	8.220911
13.0	8.628438
14.0	9.006589
15.0	9.357482
16.0	9.68308
17.0	9.985208
18.0	10.265557
19.0	10.525698
20.0	10.767086
21.0	10.991074
22.0	11.198916
23.0	11.391776
24.0	11.570733
25.0	11.736791
26.0	11.890878
27.0	12.033859
28.0	12.166532
29.0	12.289642
30.0	12.403877
31.0	12.509878
32.0	12.608238
33.0	12.699508
34.0	12.784199
35.0	12.862784
36.0	12.935705
37.0	13.00337
38.0	13.066157
39.0	13.124418
40.0	13.178479
41.0	13.228643
42.0	13.275191
43.0	13.318384
44.0	13.358463
45.0	13.395654
46.0	13.430163
47.0	13.462185
48.0	13.491898
49.0	13.51947
50.0	13.545054
51.0	13.568794
52.0	13.590823
53.0	13.611263
54.0	13.630231
55.0	13.647831
56.0	13.664162
57.0	13.679316
58.0	13.693378
59.0	13.706426
60.0	13.718533
61.0	13.729768
62.0	13.740193
63.0	13.749867
64.0	13.758843
65.0	13.767172
66.0	13.774901
67.0	13.782072
68.0	13.788727
69.0	13.794902
70.0	13.800632
71.0	13.805948
72.0	13.810882
73.0	13.81546
74.0	13.819708
75.0	13.823649
76.0	13.827307
77.0	13.830701
78.0	13.83385
79.0	13.836772
80.0	13.839484
81.0	13.842
82.0	13.844335
83.0	13.846501
84.0	13.848512
85.0	13.850377
86.0	13.852108
87.0	13.853714
88.0	13.855204
89.0	13.856587
90.0	13.857871
91.0	13.859061
92.0	13.860166
93.0	13.861192
94.0	13.862143
95.0	13.863026
96.0	13.863845
97.0	13.864605
98.0	13.86531
99.0	13.865965
100.0	13.866572

