Sample name	Total reads	Percent mapped	Percent paired	Percent singletons	Fraction with mate mapped to different chr
FC_31721_finished.txt	157773944	99.37%	92.36%	0.16%	.05048267031975824854
Holladay_finished.txt	146931448	99.39%	91.25%	0.15%	.05250633615208093504
IA3023_finished.txt	145101535	99.42%	90.93%	0.13%	.05399303322325294491
Maverick_finished.txt	147977306	99.47%	92.02%	0.13%	.04980201491166490083
PI_079691-4_finished.txt	147494582	99.34%	91.38%	0.17%	.05712249145531325347
PI_086006_finished.txt	145025096	99.10%	90.05%	0.20%	.06426940065600784018
PI_087617_finished.txt	146532545	99.47%	91.78%	0.15%	.04770829579190070028
PI_087631-1_finished.txt	142638693	99.23%	91.00%	0.19%	.05740361067385831977
PI_088788_finished.txt	128476174	99.15%	89.33%	0.19%	.06191817324821643583
PI_089772_finished.txt	191780137	99.16%	90.79%	0.16%	.05695647198333162104
PI_090763_finished.txt	168753798	99.16%	90.36%	0.17%	.06224341096014917542
PI_196175_finished.txt	148787403	99.36%	92.65%	0.16%	.04623637392205844200
PI_200508_finished.txt	146668013	99.39%	93.04%	0.19%	.04158145921019602276
PI_209332_finished.txt	184333485	99.24%	91.58%	0.14%	.05182297725234240539
PI_248515_finished.txt	149518588	99.30%	92.15%	0.21%	.04933128448216752822
PI_366121_finished.txt	148492450	99.31%	92.02%	0.25%	.05017028138467645998
PI_378702_finished.txt	149317403	99.32%	91.31%	0.22%	.05142868711693304765
PI_398593_finished.txt	146252374	99.44%	93.22%	0.17%	.04054480510518072000
PI_398595_finished.txt	144352634	99.24%	90.64%	0.17%	.05769148625303227927
PI_398610_finished.txt	144797686	99.18%	90.56%	0.17%	.05751913742599450104
PI_398614_finished.txt	142845331	99.44%	92.14%	0.15%	.05090162869936574965
PI_404166_finished.txt	194578540	99.22%	91.40%	0.16%	.05921649941458086796
PI_404198B_finished.txt	175609474	99.39%	91.45%	0.15%	.05483577725424996147
PI_407162-soja_finished.txt	147493242	99.46%	93.17%	0.21%	.03809896591736725130
PI_407184_finished.txt	147094592	99.13%	90.04%	0.23%	.06267452715052909627
PI_407729_finished.txt	148403282	99.33%	92.23%	0.20%	.04824656101608318878
PI_407788A_finished.txt	179984885	99.05%	92.11%	0.16%	.05002261162097028314
PI_407965_finished.txt	145950073	99.22%	91.32%	0.18%	.05889302981026943371
PI_408105A_finished.txt	143741989	99.39%	92.95%	0.18%	.04706207314273354044
PI_416937_finished.txt	165235827	99.37%	93.11%	0.15%	.04321041102060753446
PI_417015_finished.txt	150351420	98.96%	91.28%	0.16%	.05800158056372197881
PI_417091_finished.txt	158983856	99.00%	91.20%	0.20%	.05798344707402240891
PI_424078_finished.txt	146548011	99.21%	90.44%	0.21%	.06479129900985145407
PI_424079_finished.txt	146831509	99.27%	91.58%	0.22%	.05329004689313654060
PI_424088_finished.txt	149691596	99.30%	91.13%	0.22%	.05253434534828528383
PI_424298_finished.txt	188584849	99.03%	91.37%	0.16%	.05555549162912870057
PI_424608A_finished.txt	148258831	99.29%	91.68%	0.16%	.05373391889215691981
PI_437169B_finished.txt	160961827	99.22%	92.99%	0.14%	.04382932358241684222
PI_437654_finished.txt	188981910	99.05%	89.29%	0.17%	.06226764244260204587
PI_437655_finished.txt	157094702	98.88%	89.60%	0.22%	.06785131429830141566
