## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Sorted/2012BM7F068__sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Deduplicated/2012BM7F068__deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/2012BM7F068__deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[FN30CAT]    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Apr 21 08:34:27 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
FN30CAT_2012BM7F068_	2338616	157784855	1125101	4358234	1224265	9532884	48878	0.063824	1258592510

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000291
2.0	1.882721
3.0	2.661178
4.0	3.347913
5.0	3.953732
6.0	4.48817
7.0	4.959637
8.0	5.375553
9.0	5.742463
10.0	6.066142
11.0	6.351683
12.0	6.603579
13.0	6.825796
14.0	7.02183
15.0	7.194765
16.0	7.347325
17.0	7.481909
18.0	7.600635
19.0	7.705373
20.0	7.797769
21.0	7.879279
22.0	7.951185
23.0	8.014618
24.0	8.070578
25.0	8.119944
26.0	8.163493
27.0	8.201911
28.0	8.235802
29.0	8.2657
30.0	8.292076
31.0	8.315343
32.0	8.335869
33.0	8.353977
34.0	8.369951
35.0	8.384043
36.0	8.396474
37.0	8.407441
38.0	8.417116
39.0	8.42565
40.0	8.433179
41.0	8.439821
42.0	8.445681
43.0	8.45085
44.0	8.45541
45.0	8.459432
46.0	8.462981
47.0	8.466111
48.0	8.468873
49.0	8.471309
50.0	8.473459
51.0	8.475355
52.0	8.477027
53.0	8.478503
54.0	8.479804
55.0	8.480953
56.0	8.481966
57.0	8.482859
58.0	8.483648
59.0	8.484343
60.0	8.484957
61.0	8.485498
62.0	8.485975
63.0	8.486396
64.0	8.486768
65.0	8.487096
66.0	8.487385
67.0	8.48764
68.0	8.487865
69.0	8.488064
70.0	8.488239
71.0	8.488393
72.0	8.488529
73.0	8.48865
74.0	8.488756
75.0	8.488849
76.0	8.488932
77.0	8.489005
78.0	8.489069
79.0	8.489126
80.0	8.489176
81.0	8.48922
82.0	8.489259
83.0	8.489293
84.0	8.489323
85.0	8.48935
86.0	8.489374
87.0	8.489394
88.0	8.489413
89.0	8.489429
90.0	8.489443
91.0	8.489456
92.0	8.489467
93.0	8.489477
94.0	8.489485
95.0	8.489493
96.0	8.4895
97.0	8.489506
98.0	8.489511
99.0	8.489515
100.0	8.489519

