## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Sorted/2012BM7F223__sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Deduplicated/2012BM7F223__deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/2012BM7F223__deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[FN30CAT]    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 13 16:30:20 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
FN30CAT_2012BM7F223_	2283799	147975300	1087241	4042827	1180829	9472937	44706	0.067486	1110675864

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000283
2.0	1.875794
3.0	2.642097
4.0	3.312814
5.0	3.899869
6.0	4.413696
7.0	4.863431
8.0	5.257068
9.0	5.601604
10.0	5.903163
11.0	6.167108
12.0	6.398129
13.0	6.600333
14.0	6.777315
15.0	6.932221
16.0	7.067804
17.0	7.186476
18.0	7.290345
19.0	7.381257
20.0	7.46083
21.0	7.530477
22.0	7.591436
23.0	7.644792
24.0	7.691492
25.0	7.732367
26.0	7.768143
27.0	7.799457
28.0	7.826865
29.0	7.850854
30.0	7.871851
31.0	7.890229
32.0	7.906314
33.0	7.920393
34.0	7.932716
35.0	7.943501
36.0	7.952942
37.0	7.961204
38.0	7.968436
39.0	7.974766
40.0	7.980307
41.0	7.985156
42.0	7.989401
43.0	7.993116
44.0	7.996367
45.0	7.999213
46.0	8.001704
47.0	8.003885
48.0	8.005793
49.0	8.007463
50.0	8.008925
51.0	8.010205
52.0	8.011325
53.0	8.012305
54.0	8.013163
55.0	8.013914
56.0	8.014571
57.0	8.015147
58.0	8.01565
59.0	8.016091
60.0	8.016477
61.0	8.016814
62.0	8.01711
63.0	8.017368
64.0	8.017595
65.0	8.017793
66.0	8.017966
67.0	8.018118
68.0	8.018251
69.0	8.018367
70.0	8.018469
71.0	8.018558
72.0	8.018636
73.0	8.018705
74.0	8.018764
75.0	8.018817
76.0	8.018862
77.0	8.018902
78.0	8.018937
79.0	8.018968
80.0	8.018995
81.0	8.019019
82.0	8.019039
83.0	8.019057
84.0	8.019073
85.0	8.019087
86.0	8.019099
87.0	8.019109
88.0	8.019119
89.0	8.019127
90.0	8.019134
91.0	8.01914
92.0	8.019145
93.0	8.01915
94.0	8.019154
95.0	8.019158
96.0	8.019161
97.0	8.019164
98.0	8.019166
99.0	8.019169
100.0	8.01917

