## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Sorted/2012CM7F040P06__sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Deduplicated/2012CM7F040P06__deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/2012CM7F040P06__deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[FN30CAT]    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Apr 21 09:21:48 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
FN30CAT_2012CM7F040P06_	2643834	208946773	1626771	5613438	1558129	13481725	95244	0.067822	1558829430

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000426
2.0	1.875353
3.0	2.640525
4.0	3.309708
5.0	3.894946
6.0	4.406768
7.0	4.854385
8.0	5.245849
9.0	5.588207
10.0	5.887617
11.0	6.149467
12.0	6.378469
13.0	6.578744
14.0	6.753896
15.0	6.907075
16.0	7.041039
17.0	7.158197
18.0	7.260659
19.0	7.350267
20.0	7.428634
21.0	7.497171
22.0	7.55711
23.0	7.609529
24.0	7.655373
25.0	7.695466
26.0	7.73053
27.0	7.761195
28.0	7.788013
29.0	7.811467
30.0	7.831979
31.0	7.849917
32.0	7.865606
33.0	7.879326
34.0	7.891325
35.0	7.901819
36.0	7.910996
37.0	7.919023
38.0	7.926042
39.0	7.932181
40.0	7.937549
41.0	7.942245
42.0	7.946351
43.0	7.949942
44.0	7.953083
45.0	7.955829
46.0	7.958231
47.0	7.960332
48.0	7.962169
49.0	7.963776
50.0	7.965181
51.0	7.96641
52.0	7.967485
53.0	7.968425
54.0	7.969247
55.0	7.969966
56.0	7.970595
57.0	7.971145
58.0	7.971625
59.0	7.972046
60.0	7.972414
61.0	7.972735
62.0	7.973017
63.0	7.973263
64.0	7.973478
65.0	7.973666
66.0	7.973831
67.0	7.973975
68.0	7.9741
69.0	7.97421
70.0	7.974307
71.0	7.974391
72.0	7.974465
73.0	7.974529
74.0	7.974585
75.0	7.974635
76.0	7.974678
77.0	7.974715
78.0	7.974748
79.0	7.974777
80.0	7.974802
81.0	7.974824
82.0	7.974844
83.0	7.97486
84.0	7.974875
85.0	7.974888
86.0	7.974899
87.0	7.974909
88.0	7.974918
89.0	7.974925
90.0	7.974932
91.0	7.974938
92.0	7.974943
93.0	7.974947
94.0	7.974951
95.0	7.974954
96.0	7.974957
97.0	7.97496
98.0	7.974962
99.0	7.974964
100.0	7.974966

