## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Sorted/2012CM7F040P07__sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Deduplicated/2012CM7F040P07__deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/2012CM7F040P07__deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[FN30CAT]    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 13 16:30:46 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
FN30CAT_2012CM7F040P07_	2115326	149300090	1059652	3503424	1081411	8446993	37991	0.059775	1274485874

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.00024
2.0	1.889909
3.0	2.681231
4.0	3.385076
5.0	4.011116
6.0	4.567951
7.0	5.063231
8.0	5.50376
9.0	5.895592
10.0	6.244109
11.0	6.5541
12.0	6.829823
13.0	7.075066
14.0	7.293199
15.0	7.487219
16.0	7.659791
17.0	7.813286
18.0	7.949813
19.0	8.071248
20.0	8.179259
21.0	8.27533
22.0	8.360781
23.0	8.436786
24.0	8.504389
25.0	8.564519
26.0	8.618002
27.0	8.665573
28.0	8.707885
29.0	8.745519
30.0	8.778994
31.0	8.808768
32.0	8.83525
33.0	8.858806
34.0	8.879757
35.0	8.898392
36.0	8.914967
37.0	8.92971
38.0	8.942823
39.0	8.954487
40.0	8.964861
41.0	8.974089
42.0	8.982296
43.0	8.989596
44.0	8.996089
45.0	9.001865
46.0	9.007002
47.0	9.011571
48.0	9.015635
49.0	9.019249
50.0	9.022464
51.0	9.025324
52.0	9.027868
53.0	9.03013
54.0	9.032143
55.0	9.033932
56.0	9.035524
57.0	9.03694
58.0	9.0382
59.0	9.03932
60.0	9.040317
61.0	9.041203
62.0	9.041991
63.0	9.042692
64.0	9.043316
65.0	9.043871
66.0	9.044364
67.0	9.044803
68.0	9.045193
69.0	9.045541
70.0	9.045849
71.0	9.046124
72.0	9.046368
73.0	9.046586
74.0	9.046779
75.0	9.046951
76.0	9.047104
77.0	9.04724
78.0	9.047361
79.0	9.047468
80.0	9.047564
81.0	9.047649
82.0	9.047725
83.0	9.047792
84.0	9.047852
85.0	9.047905
86.0	9.047953
87.0	9.047995
88.0	9.048032
89.0	9.048066
90.0	9.048095
91.0	9.048122
92.0	9.048145
93.0	9.048166
94.0	9.048185
95.0	9.048201
96.0	9.048216
97.0	9.048229
98.0	9.048241
99.0	9.048251
100.0	9.04826

