## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Sorted/2012DM8F016P02__sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Deduplicated/2012DM8F016P02__deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/2012DM8F016P02__deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[FN30CAT]    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Apr 21 11:18:24 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
FN30CAT_2012DM8F016P02_	2199429	154834631	1004334	3647275	1061783	7549009	40771	0.051816	1543630373

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.00025
2.0	1.905038
3.0	2.723473
4.0	3.463798
5.0	4.133467
6.0	4.739224
7.0	5.287168
8.0	5.782816
9.0	6.23116
10.0	6.636715
11.0	7.003564
12.0	7.335402
13.0	7.635569
14.0	7.907088
15.0	8.152694
16.0	8.37486
17.0	8.575822
18.0	8.757605
19.0	8.922039
20.0	9.070779
21.0	9.205323
22.0	9.327027
23.0	9.437116
24.0	9.536697
25.0	9.626775
26.0	9.708256
27.0	9.78196
28.0	9.84863
29.0	9.908938
30.0	9.963489
31.0	10.012834
32.0	10.05747
33.0	10.097846
34.0	10.134368
35.0	10.167405
36.0	10.197289
37.0	10.22432
38.0	10.248772
39.0	10.27089
40.0	10.290897
41.0	10.308995
42.0	10.325365
43.0	10.340173
44.0	10.353568
45.0	10.365685
46.0	10.376645
47.0	10.386559
48.0	10.395527
49.0	10.403639
50.0	10.410976
51.0	10.417614
52.0	10.423618
53.0	10.429049
54.0	10.433962
55.0	10.438405
56.0	10.442425
57.0	10.446061
58.0	10.44935
59.0	10.452325
60.0	10.455016
61.0	10.457451
62.0	10.459653
63.0	10.461645
64.0	10.463446
65.0	10.465076
66.0	10.46655
67.0	10.467884
68.0	10.46909
69.0	10.470181
70.0	10.471168
71.0	10.472061
72.0	10.472869
73.0	10.473599
74.0	10.47426
75.0	10.474858
76.0	10.475399
77.0	10.475888
78.0	10.47633
79.0	10.47673
80.0	10.477092
81.0	10.47742
82.0	10.477716
83.0	10.477984
84.0	10.478226
85.0	10.478445
86.0	10.478644
87.0	10.478823
88.0	10.478985
89.0	10.479132
90.0	10.479265
91.0	10.479385
92.0	10.479494
93.0	10.479592
94.0	10.479681
95.0	10.479761
96.0	10.479834
97.0	10.4799
98.0	10.479959
99.0	10.480013
100.0	10.480062

