## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Sorted/4R30C22acr626MN13__sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Deduplicated/4R30C22acr626MN13__deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/4R30C22acr626MN13__deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[FN30CAT]    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 13 15:25:03 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
FN30CAT_4R30C22acr626MN13_	683502	82084774	1146998	5619170	315378	5238233	5913	0.065463	616120660

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000067
2.0	1.875391
3.0	2.641532
4.0	3.312108
5.0	3.89904
6.0	4.412762
7.0	4.862404
8.0	5.25596
9.0	5.600426
10.0	5.901925
11.0	6.165817
12.0	6.396792
13.0	6.598956
14.0	6.775904
15.0	6.93078
16.0	7.066337
17.0	7.184986
18.0	7.288835
19.0	7.379731
20.0	7.459289
21.0	7.528923
22.0	7.589871
23.0	7.643217
24.0	7.689909
25.0	7.730777
26.0	7.766547
27.0	7.797855
28.0	7.825258
29.0	7.849243
30.0	7.870236
31.0	7.888611
32.0	7.904694
33.0	7.91877
34.0	7.931091
35.0	7.941875
36.0	7.951314
37.0	7.959575
38.0	7.966806
39.0	7.973135
40.0	7.978675
41.0	7.983523
42.0	7.987767
43.0	7.991481
44.0	7.994733
45.0	7.997578
46.0	8.000069
47.0	8.002249
48.0	8.004157
49.0	8.005827
50.0	8.007289
51.0	8.008568
52.0	8.009688
53.0	8.010668
54.0	8.011526
55.0	8.012277
56.0	8.012934
57.0	8.013509
58.0	8.014013
59.0	8.014453
60.0	8.014839
61.0	8.015177
62.0	8.015472
63.0	8.015731
64.0	8.015957
65.0	8.016155
66.0	8.016329
67.0	8.016481
68.0	8.016614
69.0	8.01673
70.0	8.016832
71.0	8.016921
72.0	8.016999
73.0	8.017067
74.0	8.017127
75.0	8.017179
76.0	8.017225
77.0	8.017265
78.0	8.0173
79.0	8.01733
80.0	8.017357
81.0	8.017381
82.0	8.017401
83.0	8.017419
84.0	8.017435
85.0	8.017449
86.0	8.017461
87.0	8.017472
88.0	8.017481
89.0	8.017489
90.0	8.017496
91.0	8.017502
92.0	8.017508
93.0	8.017512
94.0	8.017517
95.0	8.01752
96.0	8.017523
97.0	8.017526
98.0	8.017529
99.0	8.017531
100.0	8.017533

