## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Sorted/5R39C03Dr334cMN12__sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Deduplicated/5R39C03Dr334cMN12__deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/5R39C03Dr334cMN12__deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[FN30CAT]    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 13 15:34:18 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
FN30CAT_5R39C03Dr334cMN12_	755391	84877604	1186056	2948489	390680	6797625	5898	0.082024	501607794

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000064
2.0	1.844448
3.0	2.557388
4.0	3.159345
5.0	3.667595
6.0	4.096727
7.0	4.459056
8.0	4.764981
9.0	5.023284
10.0	5.241376
11.0	5.425518
12.0	5.580995
13.0	5.712269
14.0	5.823108
15.0	5.916692
16.0	5.995708
17.0	6.062424
18.0	6.118754
19.0	6.166315
20.0	6.206473
21.0	6.240379
22.0	6.269007
23.0	6.293179
24.0	6.313587
25.0	6.330819
26.0	6.345368
27.0	6.357653
28.0	6.368025
29.0	6.376782
30.0	6.384177
31.0	6.39042
32.0	6.395691
33.0	6.400142
34.0	6.4039
35.0	6.407073
36.0	6.409752
37.0	6.412013
38.0	6.413923
39.0	6.415536
40.0	6.416897
41.0	6.418047
42.0	6.419017
43.0	6.419837
44.0	6.420529
45.0	6.421113
46.0	6.421606
47.0	6.422023
48.0	6.422375
49.0	6.422671
50.0	6.422922
51.0	6.423134
52.0	6.423313
53.0	6.423463
54.0	6.423591
55.0	6.423698
56.0	6.423789
57.0	6.423866
58.0	6.423931
59.0	6.423985
60.0	6.424032
61.0	6.42407
62.0	6.424103
63.0	6.424131
64.0	6.424155
65.0	6.424174
66.0	6.424191
67.0	6.424205
68.0	6.424217
69.0	6.424227
70.0	6.424236
71.0	6.424243
72.0	6.424249
73.0	6.424254
74.0	6.424258
75.0	6.424262
76.0	6.424265
77.0	6.424268
78.0	6.42427
79.0	6.424272
80.0	6.424273
81.0	6.424275
82.0	6.424276
83.0	6.424277
84.0	6.424278
85.0	6.424278
86.0	6.424279
87.0	6.424279
88.0	6.42428
89.0	6.42428
90.0	6.42428
91.0	6.424281
92.0	6.424281
93.0	6.424281
94.0	6.424281
95.0	6.424281
96.0	6.424281
97.0	6.424281
98.0	6.424281
99.0	6.424282
100.0	6.424282

