## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Sorted/FN0112228.06.02.01.M5__sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Deduplicated/FN0112228.06.02.01.M5__deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/FN0112228.06.02.01.M5__deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[FN30CAT]    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Apr 13 17:23:20 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
FN30CAT_FN0112228.06.02.01.M5_	2676426	176844258	1604874	8279018	1509222	39491903	51216	0.225872	334808385

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.00022
2.0	1.590018
3.0	1.937803
4.0	2.14288
5.0	2.263808
6.0	2.335115
7.0	2.377163
8.0	2.401957
9.0	2.416577
10.0	2.425198
11.0	2.430282
12.0	2.43328
13.0	2.435047
14.0	2.43609
15.0	2.436704
16.0	2.437067
17.0	2.43728
18.0	2.437406
19.0	2.437481
20.0	2.437525
21.0	2.43755
22.0	2.437566
23.0	2.437575
24.0	2.43758
25.0	2.437583
26.0	2.437585
27.0	2.437586
28.0	2.437587
29.0	2.437587
30.0	2.437587
31.0	2.437587
32.0	2.437587
33.0	2.437587
34.0	2.437587
35.0	2.437587
36.0	2.437587
37.0	2.437588
38.0	2.437588
39.0	2.437588
40.0	2.437588
41.0	2.437588
42.0	2.437588
43.0	2.437588
44.0	2.437588
45.0	2.437588
46.0	2.437588
47.0	2.437588
48.0	2.437588
49.0	2.437588
50.0	2.437588
51.0	2.437588
52.0	2.437588
53.0	2.437588
54.0	2.437588
55.0	2.437588
56.0	2.437588
57.0	2.437588
58.0	2.437588
59.0	2.437588
60.0	2.437588
61.0	2.437588
62.0	2.437588
63.0	2.437588
64.0	2.437588
65.0	2.437588
66.0	2.437588
67.0	2.437588
68.0	2.437588
69.0	2.437588
70.0	2.437588
71.0	2.437588
72.0	2.437588
73.0	2.437588
74.0	2.437588
75.0	2.437588
76.0	2.437588
77.0	2.437588
78.0	2.437588
79.0	2.437588
80.0	2.437588
81.0	2.437588
82.0	2.437588
83.0	2.437588
84.0	2.437588
85.0	2.437588
86.0	2.437588
87.0	2.437588
88.0	2.437588
89.0	2.437588
90.0	2.437588
91.0	2.437588
92.0	2.437588
93.0	2.437588
94.0	2.437588
95.0	2.437588
96.0	2.437588
97.0	2.437588
98.0	2.437588
99.0	2.437588
100.0	2.437588

