## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Sorted/FN0131633.06.01.M4__sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Deduplicated/FN0131633.06.01.M4__deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/FN0131633.06.01.M4__deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[FN30CAT] VERBOSITY=WARNING    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jun 22 17:18:58 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
FN30CAT_FN0131633.06.01.M4_	2610326	180452298	2106159	8012894	1690767	36865359	51671	0.207478	379577698

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000224
2.0	1.621997
3.0	2.008513
4.0	2.248785
5.0	2.398146
6.0	2.490995
7.0	2.548712
8.0	2.584591
9.0	2.606895
10.0	2.62076
11.0	2.629379
12.0	2.634737
13.0	2.638067
14.0	2.640138
15.0	2.641425
16.0	2.642225
17.0	2.642722
18.0	2.643031
19.0	2.643223
20.0	2.643343
21.0	2.643417
22.0	2.643463
23.0	2.643492
24.0	2.64351
25.0	2.643521
26.0	2.643528
27.0	2.643532
28.0	2.643535
29.0	2.643536
30.0	2.643537
31.0	2.643538
32.0	2.643539
33.0	2.643539
34.0	2.643539
35.0	2.643539
36.0	2.643539
37.0	2.643539
38.0	2.643539
39.0	2.643539
40.0	2.643539
41.0	2.643539
42.0	2.643539
43.0	2.643539
44.0	2.643539
45.0	2.643539
46.0	2.643539
47.0	2.643539
48.0	2.643539
49.0	2.643539
50.0	2.643539
51.0	2.643539
52.0	2.643539
53.0	2.643539
54.0	2.643539
55.0	2.643539
56.0	2.643539
57.0	2.643539
58.0	2.643539
59.0	2.643539
60.0	2.643539
61.0	2.643539
62.0	2.643539
63.0	2.643539
64.0	2.643539
65.0	2.643539
66.0	2.643539
67.0	2.643539
68.0	2.643539
69.0	2.643539
70.0	2.643539
71.0	2.643539
72.0	2.643539
73.0	2.643539
74.0	2.643539
75.0	2.643539
76.0	2.643539
77.0	2.643539
78.0	2.643539
79.0	2.643539
80.0	2.643539
81.0	2.643539
82.0	2.643539
83.0	2.643539
84.0	2.643539
85.0	2.643539
86.0	2.643539
87.0	2.643539
88.0	2.643539
89.0	2.643539
90.0	2.643539
91.0	2.643539
92.0	2.643539
93.0	2.643539
94.0	2.643539
95.0	2.643539
96.0	2.643539
97.0	2.643539
98.0	2.643539
99.0	2.643539
100.0	2.643539

