## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Sorted/FN0163764.04.01.M4__sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Deduplicated/FN0163764.04.01.M4__deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/FN0163764.04.01.M4__deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[FN30CAT]    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Apr 21 09:50:54 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
FN30CAT_FN0163764.04.01.M4_	2366744	120946436	2404664	6371192	1378154	28127742	50306	0.235952	218189972

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000311
2.0	1.574955
3.0	1.905067
4.0	2.094704
5.0	2.203645
6.0	2.266227
7.0	2.302178
8.0	2.322831
9.0	2.334695
10.0	2.341511
11.0	2.345426
12.0	2.347675
13.0	2.348967
14.0	2.349709
15.0	2.350136
16.0	2.350381
17.0	2.350522
18.0	2.350602
19.0	2.350649
20.0	2.350675
21.0	2.350691
22.0	2.3507
23.0	2.350705
24.0	2.350708
25.0	2.350709
26.0	2.35071
27.0	2.350711
28.0	2.350711
29.0	2.350711
30.0	2.350711
31.0	2.350711
32.0	2.350711
33.0	2.350711
34.0	2.350711
35.0	2.350711
36.0	2.350712
37.0	2.350712
38.0	2.350712
39.0	2.350712
40.0	2.350712
41.0	2.350712
42.0	2.350712
43.0	2.350712
44.0	2.350712
45.0	2.350712
46.0	2.350712
47.0	2.350712
48.0	2.350712
49.0	2.350712
50.0	2.350712
51.0	2.350712
52.0	2.350712
53.0	2.350712
54.0	2.350712
55.0	2.350712
56.0	2.350712
57.0	2.350712
58.0	2.350712
59.0	2.350712
60.0	2.350712
61.0	2.350712
62.0	2.350712
63.0	2.350712
64.0	2.350712
65.0	2.350712
66.0	2.350712
67.0	2.350712
68.0	2.350712
69.0	2.350712
70.0	2.350712
71.0	2.350712
72.0	2.350712
73.0	2.350712
74.0	2.350712
75.0	2.350712
76.0	2.350712
77.0	2.350712
78.0	2.350712
79.0	2.350712
80.0	2.350712
81.0	2.350712
82.0	2.350712
83.0	2.350712
84.0	2.350712
85.0	2.350712
86.0	2.350712
87.0	2.350712
88.0	2.350712
89.0	2.350712
90.0	2.350712
91.0	2.350712
92.0	2.350712
93.0	2.350712
94.0	2.350712
95.0	2.350712
96.0	2.350712
97.0	2.350712
98.0	2.350712
99.0	2.350712
100.0	2.350712

