## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Sorted/FN0173217.03.09.01.M5__sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Deduplicated/FN0173217.03.09.01.M5__deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/FN0173217.03.09.01.M5__deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[FN30CAT]    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Apr 21 13:48:21 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
FN30CAT_FN0173217.03.09.01.M5_	2661679	193955944	1354194	9015181	1640156	45562685	55088	0.237511	345552522

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000212
2.0	1.570804
3.0	1.896311
4.0	2.082003
5.0	2.187935
6.0	2.248366
7.0	2.28284
8.0	2.302507
9.0	2.313726
10.0	2.320126
11.0	2.323778
12.0	2.32586
13.0	2.327049
14.0	2.327727
15.0	2.328113
16.0	2.328334
17.0	2.32846
18.0	2.328531
19.0	2.328572
20.0	2.328596
21.0	2.328609
22.0	2.328617
23.0	2.328621
24.0	2.328624
25.0	2.328625
26.0	2.328626
27.0	2.328626
28.0	2.328626
29.0	2.328627
30.0	2.328627
31.0	2.328627
32.0	2.328627
33.0	2.328627
34.0	2.328627
35.0	2.328627
36.0	2.328627
37.0	2.328627
38.0	2.328627
39.0	2.328627
40.0	2.328627
41.0	2.328627
42.0	2.328627
43.0	2.328627
44.0	2.328627
45.0	2.328627
46.0	2.328627
47.0	2.328627
48.0	2.328627
49.0	2.328627
50.0	2.328627
51.0	2.328627
52.0	2.328627
53.0	2.328627
54.0	2.328627
55.0	2.328627
56.0	2.328627
57.0	2.328627
58.0	2.328627
59.0	2.328627
60.0	2.328627
61.0	2.328627
62.0	2.328627
63.0	2.328627
64.0	2.328627
65.0	2.328627
66.0	2.328627
67.0	2.328627
68.0	2.328627
69.0	2.328627
70.0	2.328627
71.0	2.328627
72.0	2.328627
73.0	2.328627
74.0	2.328627
75.0	2.328627
76.0	2.328627
77.0	2.328627
78.0	2.328627
79.0	2.328627
80.0	2.328627
81.0	2.328627
82.0	2.328627
83.0	2.328627
84.0	2.328627
85.0	2.328627
86.0	2.328627
87.0	2.328627
88.0	2.328627
89.0	2.328627
90.0	2.328627
91.0	2.328627
92.0	2.328627
93.0	2.328627
94.0	2.328627
95.0	2.328627
96.0	2.328627
97.0	2.328627
98.0	2.328627
99.0	2.328627
100.0	2.328627

