## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Sorted/FN0175143.05.06.01.M5__sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Deduplicated/FN0175143.05.06.01.M5__deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/FN0175143.05.06.01.M5__deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[FN30CAT] VERBOSITY=WARNING    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Aug 14 22:17:54 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
FN30CAT_FN0175143.05.06.01.M5_	2804848	186652958	1718483	6589990	1429148	32185561	53487	0.174949	477645826

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000234
2.0	1.676924
3.0	2.134725
4.0	2.444442
5.0	2.653975
6.0	2.795731
7.0	2.891633
8.0	2.956514
9.0	3.000408
10.0	3.030103
11.0	3.050193
12.0	3.063785
13.0	3.07298
14.0	3.079201
15.0	3.083409
16.0	3.086256
17.0	3.088183
18.0	3.089486
19.0	3.090367
20.0	3.090964
21.0	3.091367
22.0	3.09164
23.0	3.091825
24.0	3.09195
25.0	3.092034
26.0	3.092092
27.0	3.09213
28.0	3.092157
29.0	3.092174
30.0	3.092186
31.0	3.092194
32.0	3.0922
33.0	3.092204
34.0	3.092206
35.0	3.092208
36.0	3.092209
37.0	3.09221
38.0	3.09221
39.0	3.092211
40.0	3.092211
41.0	3.092211
42.0	3.092211
43.0	3.092211
44.0	3.092211
45.0	3.092211
46.0	3.092211
47.0	3.092211
48.0	3.092211
49.0	3.092211
50.0	3.092211
51.0	3.092211
52.0	3.092211
53.0	3.092211
54.0	3.092211
55.0	3.092211
56.0	3.092211
57.0	3.092211
58.0	3.092211
59.0	3.092211
60.0	3.092211
61.0	3.092211
62.0	3.092211
63.0	3.092211
64.0	3.092211
65.0	3.092211
66.0	3.092211
67.0	3.092211
68.0	3.092211
69.0	3.092211
70.0	3.092211
71.0	3.092211
72.0	3.092211
73.0	3.092211
74.0	3.092211
75.0	3.092211
76.0	3.092211
77.0	3.092211
78.0	3.092211
79.0	3.092211
80.0	3.092211
81.0	3.092211
82.0	3.092211
83.0	3.092211
84.0	3.092211
85.0	3.092211
86.0	3.092211
87.0	3.092211
88.0	3.092211
89.0	3.092211
90.0	3.092211
91.0	3.092211
92.0	3.092211
93.0	3.092211
94.0	3.092211
95.0	3.092211
96.0	3.092211
97.0	3.092211
98.0	3.092211
99.0	3.092211
100.0	3.092211

