## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Sorted/M92-220.x1.04.WT__sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Deduplicated/M92-220.x1.04.WT__deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/M92-220.x1.04.WT__deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[FN30CAT]    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed May 09 20:47:04 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
FN30CAT_M92-220.x1.04.WT_	4127504	342463189	1990439	8454358	2414246	37044269	98218	0.111026	1469981252

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000255
2.0	1.792633
3.0	2.420336
4.0	2.917588
5.0	3.311499
6.0	3.623547
7.0	3.870743
8.0	4.066566
9.0	4.221693
10.0	4.34458
11.0	4.441929
12.0	4.519046
13.0	4.580137
14.0	4.628531
15.0	4.666868
16.0	4.697238
17.0	4.721296
18.0	4.740354
19.0	4.755452
20.0	4.767412
21.0	4.776886
22.0	4.784391
23.0	4.790337
24.0	4.795047
25.0	4.798778
26.0	4.801734
27.0	4.804075
28.0	4.80593
29.0	4.807399
30.0	4.808563
31.0	4.809485
32.0	4.810216
33.0	4.810794
34.0	4.811253
35.0	4.811616
36.0	4.811903
37.0	4.812131
38.0	4.812312
39.0	4.812455
40.0	4.812568
41.0	4.812658
42.0	4.812729
43.0	4.812785
44.0	4.81283
45.0	4.812865
46.0	4.812893
47.0	4.812915
48.0	4.812933
49.0	4.812947
50.0	4.812958
51.0	4.812967
52.0	4.812974
53.0	4.812979
54.0	4.812983
55.0	4.812987
56.0	4.81299
57.0	4.812992
58.0	4.812993
59.0	4.812995
60.0	4.812996
61.0	4.812997
62.0	4.812997
63.0	4.812998
64.0	4.812998
65.0	4.812999
66.0	4.812999
67.0	4.812999
68.0	4.812999
69.0	4.812999
70.0	4.813
71.0	4.813
72.0	4.813
73.0	4.813
74.0	4.813
75.0	4.813
76.0	4.813
77.0	4.813
78.0	4.813
79.0	4.813
80.0	4.813
81.0	4.813
82.0	4.813
83.0	4.813
84.0	4.813
85.0	4.813
86.0	4.813
87.0	4.813
88.0	4.813
89.0	4.813
90.0	4.813
91.0	4.813
92.0	4.813
93.0	4.813
94.0	4.813
95.0	4.813
96.0	4.813
97.0	4.813
98.0	4.813
99.0	4.813
100.0	4.813

