## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Sorted/R18C55Dhaar437MN13__sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Deduplicated/R18C55Dhaar437MN13__deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/R18C55Dhaar437MN13__deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[FN30CAT]    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Apr 14 02:16:40 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
FN30CAT_R18C55Dhaar437MN13_	697714	84400273	1172480	7522694	335380	5644499	5664	0.068581	603096837

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000063
2.0	1.869523
3.0	2.625438
4.0	3.282634
5.0	3.854005
6.0	4.350759
7.0	4.782639
8.0	5.158119
9.0	5.484563
10.0	5.768376
11.0	6.015124
12.0	6.229649
13.0	6.416158
14.0	6.57831
15.0	6.719286
16.0	6.841852
17.0	6.948411
18.0	7.041054
19.0	7.121599
20.0	7.191625
21.0	7.252506
22.0	7.305436
23.0	7.351454
24.0	7.391462
25.0	7.426246
26.0	7.456487
27.0	7.482779
28.0	7.505637
29.0	7.52551
30.0	7.542787
31.0	7.557809
32.0	7.570869
33.0	7.582223
34.0	7.592094
35.0	7.600676
36.0	7.608138
37.0	7.614625
38.0	7.620265
39.0	7.625168
40.0	7.629431
41.0	7.633137
42.0	7.636359
43.0	7.639161
44.0	7.641596
45.0	7.643714
46.0	7.645555
47.0	7.647156
48.0	7.648547
49.0	7.649757
50.0	7.650809
51.0	7.651723
52.0	7.652518
53.0	7.653209
54.0	7.65381
55.0	7.654333
56.0	7.654787
57.0	7.655182
58.0	7.655525
59.0	7.655824
60.0	7.656083
61.0	7.656309
62.0	7.656505
63.0	7.656676
64.0	7.656824
65.0	7.656953
66.0	7.657065
67.0	7.657162
68.0	7.657247
69.0	7.657321
70.0	7.657385
71.0	7.65744
72.0	7.657489
73.0	7.657531
74.0	7.657568
75.0	7.657599
76.0	7.657627
77.0	7.657651
78.0	7.657672
79.0	7.65769
80.0	7.657706
81.0	7.65772
82.0	7.657732
83.0	7.657742
84.0	7.657751
85.0	7.657759
86.0	7.657766
87.0	7.657772
88.0	7.657777
89.0	7.657781
90.0	7.657785
91.0	7.657788
92.0	7.657791
93.0	7.657794
94.0	7.657796
95.0	7.657798
96.0	7.6578
97.0	7.657801
98.0	7.657803
99.0	7.657804
100.0	7.657805

