## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Sorted/R52C55Dadr564MN13__sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Deduplicated/R52C55Dadr564MN13__deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/R52C55Dadr564MN13__deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[FN30CAT]    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Apr 21 08:24:01 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
FN30CAT_R52C55Dadr564MN13_	640351	73295045	1106956	5517719	307007	4673303	5518	0.065568	550666049

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.00007
2.0	1.875507
3.0	2.641843
4.0	3.312675
5.0	3.899904
6.0	4.41395
7.0	4.863934
8.0	5.257838
9.0	5.602652
10.0	5.904494
11.0	6.168719
12.0	6.400015
13.0	6.602485
14.0	6.779723
15.0	6.934873
16.0	7.070687
17.0	7.189575
18.0	7.293647
19.0	7.384749
20.0	7.464498
21.0	7.534308
22.0	7.595417
23.0	7.648912
24.0	7.695739
25.0	7.73673
26.0	7.772613
27.0	7.804024
28.0	7.831521
29.0	7.855591
30.0	7.876661
31.0	7.895105
32.0	7.91125
33.0	7.925384
34.0	7.937756
35.0	7.948586
36.0	7.958067
37.0	7.966366
38.0	7.97363
39.0	7.97999
40.0	7.985557
41.0	7.99043
42.0	7.994695
43.0	7.99843
44.0	8.001698
45.0	8.00456
46.0	8.007065
47.0	8.009257
48.0	8.011177
49.0	8.012857
50.0	8.014328
51.0	8.015615
52.0	8.016742
53.0	8.017729
54.0	8.018592
55.0	8.019348
56.0	8.02001
57.0	8.020589
58.0	8.021097
59.0	8.02154
60.0	8.021929
61.0	8.022269
62.0	8.022567
63.0	8.022828
64.0	8.023056
65.0	8.023256
66.0	8.02343
67.0	8.023583
68.0	8.023717
69.0	8.023835
70.0	8.023937
71.0	8.024027
72.0	8.024106
73.0	8.024175
74.0	8.024235
75.0	8.024288
76.0	8.024334
77.0	8.024375
78.0	8.02441
79.0	8.024441
80.0	8.024468
81.0	8.024492
82.0	8.024513
83.0	8.024531
84.0	8.024547
85.0	8.024561
86.0	8.024573
87.0	8.024584
88.0	8.024593
89.0	8.024601
90.0	8.024608
91.0	8.024614
92.0	8.02462
93.0	8.024625
94.0	8.024629
95.0	8.024633
96.0	8.024636
97.0	8.024639
98.0	8.024641
99.0	8.024643
100.0	8.024645

