## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=1000 INPUT=[/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Sorted/RP8DM5r597MN13__sorted.bam] OUTPUT=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Intermediates/Deduplicated/RP8DM5r597MN13__deduped.bam METRICS_FILE=/panfs/roc/groups/9/morrellp/shared/Projects/Context_Of_Mutations/FN30cat/SAM_Processing/Picard/Statistics/Deduplicated_BAM_Stats/RP8DM5r597MN13__deduplicated.txt REMOVE_DUPLICATES=true ASSUME_SORTED=true TMP_DIR=[FN30CAT]    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Apr 21 08:33:46 CDT 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
FN30CAT_RP8DM5r597MN13_	731086	81998175	1169658	8933770	352132	5604819	5539	0.070187	572672679

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000063
2.0	1.866711
3.0	2.617743
4.0	3.268582
5.0	3.832595
6.0	4.321366
7.0	4.744931
8.0	5.11199
9.0	5.430081
10.0	5.705737
11.0	5.944618
12.0	6.151631
13.0	6.331028
14.0	6.486491
15.0	6.621215
16.0	6.737966
17.0	6.839142
18.0	6.92682
19.0	7.002801
20.0	7.068646
21.0	7.125707
22.0	7.175155
23.0	7.218007
24.0	7.255142
25.0	7.287323
26.0	7.315211
27.0	7.339378
28.0	7.360322
29.0	7.378471
30.0	7.394199
31.0	7.407829
32.0	7.419641
33.0	7.429877
34.0	7.438747
35.0	7.446434
36.0	7.453095
37.0	7.458868
38.0	7.463871
39.0	7.468206
40.0	7.471963
41.0	7.475219
42.0	7.47804
43.0	7.480485
44.0	7.482604
45.0	7.48444
46.0	7.486031
47.0	7.48741
48.0	7.488605
49.0	7.489641
50.0	7.490538
51.0	7.491316
52.0	7.49199
53.0	7.492574
54.0	7.49308
55.0	7.493519
56.0	7.493899
57.0	7.494228
58.0	7.494513
59.0	7.494761
60.0	7.494975
61.0	7.495161
62.0	7.495322
63.0	7.495461
64.0	7.495582
65.0	7.495687
66.0	7.495778
67.0	7.495857
68.0	7.495925
69.0	7.495984
70.0	7.496035
71.0	7.496079
72.0	7.496118
73.0	7.496151
74.0	7.49618
75.0	7.496205
76.0	7.496227
77.0	7.496246
78.0	7.496262
79.0	7.496276
80.0	7.496288
81.0	7.496299
82.0	7.496308
83.0	7.496316
84.0	7.496323
85.0	7.496329
86.0	7.496334
87.0	7.496338
88.0	7.496342
89.0	7.496346
90.0	7.496349
91.0	7.496351
92.0	7.496353
93.0	7.496355
94.0	7.496357
95.0	7.496358
96.0	7.49636
97.0	7.496361
98.0	7.496362
99.0	7.496362
100.0	7.496363

