Sample name	Total reads	Percent mapped	Percent paired	Percent singletons	Fraction with mate mapped to different chr
1R36C56Cdbbr418MN13_	162542023	97.30%	90.52%	0.22%	.05287273925463570734
2012BM7F068_	303101628	98.56%	91.31%	0.37%	.06125317149401784143
2012BM7F223_	283237764	98.57%	91.59%	0.39%	.05886710078674395974
2012CM7F040P05_	292739786	99.07%	94.53%	0.39%	.03522046026227538473
2012CM7F040P06_	399256010	98.59%	91.70%	0.27%	.05877842640365012914
2012CM7F040P07_	287303185	98.78%	92.01%	0.36%	.05688543967934083292
2012CM8F030P02_	280454540	98.72%	91.77%	0.33%	.05885223323537568691
2012CM8F030P07_	299606864	98.76%	92.53%	0.36%	.05207227161524577087
2012CM8F030P09_	288311622	98.66%	92.05%	0.35%	.05546793392879597479
2012DM8F016P02_	300360499	98.79%	92.63%	0.38%	.05071308660996731131
4R30C22acr626MN13_	160827374	96.51%	89.76%	0.23%	.05656581820455515240
5R39C03Dr334cMN12_	160659214	98.16%	92.09%	0.23%	.05013347071397971609
6R40C84Dar41dMNB12_	164935946	97.94%	89.77%	0.23%	.06654797978361854486
FN0112228.06.02.01.M5_	285755806	97.10%	92.76%	0.41%	.03338586933208279239
FN0112885.02.06.03.M5_	450052750	73.09%	69.37%	0.21%	.02898930403158296444
FN0131633.06.01.M4_	298212490	97.31%	91.44%	0.31%	.04935911302709017989
FN0163764.04.01.M4_	195401834	96.74%	87.15%	0.51%	.07907321893406589008
FN0164160.03.02.01.01.M6_	287216170	97.69%	92.52%	0.35%	.04181812604770824706
FN0164472.x3.06.01.M5_	293681895	98.18%	92.01%	0.27%	.05264138601393865290
FN0170228.07.35.01.M5_	256444846	97.91%	93.05%	0.29%	.03838454214829492030
FN0170712.06.41.01.M5_	287070120	98.34%	94.05%	0.20%	.03551523927324794374
FN0171501.01.02.M4_	306782503	98.41%	91.85%	0.39%	.05605970950696624311
FN0172932.09.08.01.M5_	243148909	97.82%	92.87%	0.42%	.03853759426080747909
FN0173217.03.09.01.M5_	308177416	97.07%	93.02%	0.33%	.03238964142654762216
FN0175143.05.06.01.M5_	318618967	97.93%	92.43%	0.43%	.04492168226758452832
FN0175501.x2.02.01.M5_	294162243	98.48%	92.31%	0.25%	.05289597958362045804
FN0190069.01.01.M4_	269185835	96.83%	90.04%	0.24%	.05788277083747738806
M92-220.x1.04.WT_	622995895	98.64%	94.07%	0.28%	.03820216825024184148
R18C55Dhaar437MN13_	166569056	95.48%	89.21%	0.22%	.05282911611145830111
R52C55Dadr564MN13_	144201503	96.17%	88.81%	0.23%	.06257049900513172875
RP8DM5r597MN13_	163269094	94.53%	88.23%	0.23%	.05299829739975160271
