INDV	O(HOM)	E(HOM)	N_SITES	F
PI_597387	15719453	15674630.6	18433558	0.01625
PI_458515	15737190	15493768.0	18203291	0.08984
PI_248515	16238197	15566257.0	18297222	0.24604
PI_366121	14871243	15636936.5	18387082	-0.27842
PI_594599	16481354	15561254.4	18293771	0.33672
PI_567519	17077874	15487495.6	18209262	0.58432
PI_438258	17179156	15458623.3	18174557	0.63350
PI_483463-soja	16515768	14617218.2	17219389	0.72960
PI_424088	16887405	14933349.1	17578816	0.73864
PI_407184	16722689	14788276.1	17403482	0.73968
PI_424079	16891027	14908494.5	17551265	0.75017
M92-220.x1.04.WT_	17741529	15633175.6	18399210	0.76223
PI_437654	17100807	15060962.1	17712015	0.76945
PI_567305	16903153	14886466.6	17504926	0.77018
PI_567516C	16885071	14871637.8	17480353	0.77181
PI_378702	16910110	14878646.8	17502855	0.77412
PI_417091	17133536	15070208.2	17733736	0.77466
PI_404198B	17128545	15070550.5	17725018	0.77529
PI_089772	17185637	15115623.2	17777749	0.77758
PI_407162-soja	17080281	15007538.4	17667251	0.77931
PI_424078	17110279	15030094.4	17682499	0.78426
PI_567343	17137444	15044752.5	17706330	0.78626
PI_437690	17213194	15116381.3	17775518	0.78853
PI_567230	17114069	15016853.3	17674080	0.78925
PI_404166	17376458	15258159.6	17941524	0.78942
PI_437655	17166772	15063906.0	17725102	0.79020
PI_548402A	17352335	15232668.1	17914914	0.79026
PI_548402	17296677	15180550.6	17854850	0.79128
PI_407729	17209171	15103191.7	17762957	0.79179
PI_209332	17339300	15214512.2	17897237	0.79203
PI_567336B	17203493	15094170.0	17756780	0.79220
PI_548316	17409524	15269307.8	17958322	0.79591
PI_090763	17176845	15067742.2	17714993	0.79671
FC_31721	17129675	15021595.7	17659446	0.79917
PI_549031	17251234	15117540.3	17779692	0.80149
PI_567387	17118572	14991483.8	17636824	0.80409
PI_468915	16981487	14885436.9	17489320	0.80497
PI_424298	17419805	15255231.8	17941631	0.80575
PI_088788	17054086	14938361.0	17550435	0.80998
PI_612611	17363343	15196809.6	17869647	0.81057
PI_548415	17253010	15095975.1	17755653	0.81101
PI_495017C	17478468	15287103.7	17985987	0.81195
PI_079691-4	17198511	15049588.6	17692599	0.81306
PI_603175	17415218	15234334.0	17912412	0.81435
PI_548511	17525179	15330240.1	18023092	0.81510
PI_567357	17409174	15221344.5	17903691	0.81564
PI_087631-1	17281704	15109776.7	17771146	0.81609
PI_437725	17232962	15068676.9	17716723	0.81731
PI_437679	17304053	15134750.6	17788250	0.81753
PI_407788A	17496330	15299667.4	17986493	0.81757
PI_086006	17333605	15145138.1	17821546	0.81769
PI_417015	17173688	15016720.0	17653993	0.81788
PI_567354	17456565	15250656.0	17935931	0.82148
PI_467312	17314965	15126879.7	17788783	0.82200
PI_398593	17491325	15279233.2	17963783	0.82401
PI_548317	17463145	15244344.9	17932757	0.82532
PI_407965	17445427	15233651.7	17913212	0.82542
PI_438471	17458593	15245899.6	17926387	0.82548
PI_548667	17465442	15250036.6	17927753	0.82735
PI_507354	17503609	15282331.9	17965964	0.82771
PI_567383	17478291	15251660.1	17934908	0.82983
PI_548349	17430450	15207650.6	17884292	0.83044
PI_567611	17502474	15271167.8	17957862	0.83050
PI_567651	17453295	15226477.3	17905891	0.83108
PI_603497	17416937	15193176.5	17864945	0.83232
PI_605869A	17499444	15266628.3	17948234	0.83264
PI_594512A	17589418	15340569.6	18040953	0.83279
V71-370	17551622	15306327.7	17999924	0.83357
PI_424608A	17456774	15225735.3	17901810	0.83370
PI_087617	17562344	15316303.6	18008556	0.83426
PI_398614	17479862	15247220.8	17920604	0.83514
PI_567731	17467285	15228662.6	17905901	0.83617
PI_408105A	17606079	15348559.7	18048278	0.83621
PI_647086	17704192	15428657.3	18148302	0.83670
PI_398610	17473029	15233953.4	17906042	0.83795
PI_398595	17494322	15251700.1	17925798	0.83865
PI_437863A	17574260	15305833.3	18007736	0.83957
PI_518664	17593159	15327983.6	18022233	0.84074
PI_603154	17670018	15386155.4	18099815	0.84162
PI_603176A	17643175	15364975.2	18071103	0.84187
PI_567690	17526594	15264269.8	17949992	0.84235
S10-11227	17678155	15394573.5	18104711	0.84261
PI_471938	17549748	15287073.2	17970410	0.84323
PI_603170	17551485	15283045.4	17973113	0.84326
PI_196175	17500461	15237993.0	17913340	0.84567
PI_464920B	17571214	15293753.4	17985486	0.84609
PI_567719	17626843	15340865.6	18041763	0.84638
PI_416937	17649900	15361208.0	18064639	0.84659
PI_548657	17612192	15327137.5	18024079	0.84728
PI_200508	17539086	15264290.7	17943867	0.84894
PI_561271	17574290	15288024.2	17980070	0.84927
PI_518751	17492909	15222244.0	17891622	0.85063
PI_437169B	17637361	15337395.0	18040540	0.85085
S05-11482	17704674	15400679.1	18106077	0.85163
PI_594012	17609876	15315266.0	18008925	0.85186
Holladay	17580174	15290315.3	17974238	0.85318
PI_658519	17855460	15503867.5	18240236	0.85938
PI_552538	17780136	15442744.6	18158268	0.86075
PI_475783B	17764237	15406799.6	18115186	0.87042
PI_593258	17936907	15529028.1	18264785	0.88015
PI_639740	17941993	15529907.4	18270023	0.88029
Maverick	17913869	15501387.4	18234055	0.88283
S07-5049	18044425	15598322.2	18348160	0.88954
IA3023	18075765	15607999.2	18358395	0.89724
PI_542044	18512099	15891232.9	18702787	0.93218
PI_591539	18482373	15861489.1	18667621	0.93398
PI_547862	18441389	15826790.3	18623963	0.93473
