INDV	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS
PI_483463-soja	20403477	0	1983196	0.0971989
PI_407184	20403477	0	1796697	0.0880584
PI_567516C	20403477	0	1725386	0.0845633
PI_468915	20403477	0	1715736	0.0840904
PI_378702	20403477	0	1689905	0.0828244
PI_567305	20403477	0	1685346	0.0826009
PI_088788	20403477	0	1644174	0.080583
PI_424079	20403477	0	1616697	0.0792363
PI_424088	20403477	0	1579022	0.0773898
PI_567387	20403477	0	1531197	0.0750459
PI_417015	20403477	0	1522349	0.0746122
FC_31721	20403477	0	1515540	0.0742785
PI_407162-soja	20403477	0	1491106	0.073081
PI_079691-4	20403477	0	1481814	0.0726256
PI_567230	20403477	0	1479001	0.0724877
PI_424078	20403477	0	1473469	0.0722166
PI_090763	20403477	0	1451129	0.0711217
PI_437654	20403477	0	1449746	0.0710539
PI_437725	20403477	0	1440833	0.070617
PI_404198B	20403477	0	1436624	0.0704107
PI_567343	20403477	0	1436056	0.0703829
PI_437655	20403477	0	1417498	0.0694734
PI_417091	20403477	0	1407212	0.0689692
PI_548415	20403477	0	1392830	0.0682643
PI_407729	20403477	0	1392023	0.0682248
PI_567336B	20403477	0	1382348	0.0677506
PI_087631-1	20403477	0	1378506	0.0675623
PI_437690	20403477	0	1374728	0.0673771
PI_089772	20403477	0	1374399	0.067361
PI_437679	20403477	0	1369596	0.0671256
PI_549031	20403477	0	1359630	0.0666372
PI_467312	20403477	0	1351350	0.0662314
PI_086006	20403477	0	1315647	0.0644815
PI_548402	20403477	0	1279337	0.0627019
PI_612611	20403477	0	1277034	0.062589
PI_603497	20403477	0	1255230	0.0615204
PI_518751	20403477	0	1250640	0.0612954
PI_548349	20403477	0	1247321	0.0611328
PI_424608A	20403477	0	1240338	0.0607905
PI_209332	20403477	0	1238206	0.060686
PI_398610	20403477	0	1236726	0.0606135
PI_567731	20403477	0	1226494	0.060112
PI_196175	20403477	0	1225088	0.0600431
PI_567357	20403477	0	1223734	0.0599767
PI_398614	20403477	0	1223290	0.059955
PI_603175	20403477	0	1223014	0.0599415
PI_567651	20403477	0	1221884	0.0598861
PI_407965	20403477	0	1216301	0.0596124
PI_398595	20403477	0	1211812	0.0593924
PI_548402A	20403477	0	1210807	0.0593432
PI_548667	20403477	0	1207586	0.0591853
PI_438471	20403477	0	1203283	0.0589744
PI_567383	20403477	0	1190452	0.0583455
PI_424298	20403477	0	1188853	0.0582672
PI_200508	20403477	0	1187692	0.0582103
PI_548317	20403477	0	1185595	0.0581075
PI_567354	20403477	0	1182897	0.0579753
PI_404166	20403477	0	1181372	0.0579005
PI_567690	20403477	0	1175034	0.0575899
PI_548316	20403477	0	1169377	0.0573126
PI_605869A	20403477	0	1168520	0.0572706
PI_567611	20403477	0	1163197	0.0570097
PI_398593	20403477	0	1160117	0.0568588
PI_507354	20403477	0	1155340	0.0566247
Holladay	20403477	0	1155302	0.0566228
PI_471938	20403477	0	1152248	0.0564731
PI_603170	20403477	0	1137914	0.0557706
PI_407788A	20403477	0	1137462	0.0557484
PI_561271	20403477	0	1136262	0.0556896
PI_464920B	20403477	0	1129346	0.0553507
PI_495017C	20403477	0	1118893	0.0548383
PI_594012	20403477	0	1111956	0.0544984
PI_087617	20403477	0	1109488	0.0543774
PI_518664	20403477	0	1106379	0.054225
V71-370	20403477	0	1104101	0.0541134
PI_437863A	20403477	0	1095551	0.0536943
PI_548657	20403477	0	1092980	0.0535683
PI_548511	20403477	0	1083707	0.0531138
PI_594512A	20403477	0	1077449	0.0528071
PI_567719	20403477	0	1072169	0.0525483
PI_437169B	20403477	0	1071061	0.052494
PI_408105A	20403477	0	1061363	0.0520187
PI_416937	20403477	0	1051883	0.0515541
PI_603176A	20403477	0	1030964	0.0505288
S10-11227	20403477	0	1009310	0.0494675
S05-11482	20403477	0	1005811	0.0492961
PI_603154	20403477	0	996189	0.0488245
PI_475783B	20403477	0	988733	0.048459
PI_647086	20403477	0	935544	0.0458522
PI_552538	20403477	0	928328	0.0454985
PI_438258	20403477	0	925620	0.0453658
PI_458515	20403477	0	902134	0.0442147
PI_567519	20403477	0	884120	0.0433318
Maverick	20403477	0	861174	0.0422072
PI_658519	20403477	0	836406	0.0409933
PI_593258	20403477	0	808243	0.039613
PI_639740	20403477	0	799386	0.0391789
PI_248515	20403477	0	791175	0.0387765
PI_594599	20403477	0	790049	0.0387213
IA3023	20403477	0	715032	0.0350446
S07-5049	20403477	0	713186	0.0349541
PI_366121	20403477	0	688437	0.0337412
PI_597387	20403477	0	629456	0.0308504
M92-220.x1.04.WT_	20403477	0	625939	0.0306781
PI_547862	20403477	0	409322	0.0200614
PI_591539	20403477	0	359507	0.0176199
PI_542044	20403477	0	324200	0.0158894
