INDV	O(HOM)	E(HOM)	N_SITES	F
PI_366121	6533462	6228530.7	7275574	0.29123
PI_458515	7420685	7025906.8	8252314	0.32190
PI_597387	6734293	6131364.6	7133137	0.60186
PI_248515	7755065	6990853.6	8246873	0.60844
PI_567519	8577549	7455008.2	8882478	0.78638
PI_594599	7783718	6830035.3	8008785	0.80906
PI_438258	8669151	7461053.4	8911493	0.83292
PI_483463-soja	8693812	7267289.9	8747768	0.96356
PI_424088	8822863	7376983.4	8867499	0.97005
PI_407184	8664020	7244988.5	8707373	0.97035
PI_424079	8832848	7378590.8	8874904	0.97189
PI_378702	8665244	7240609.6	8701063	0.97547
PI_407162-soja	8930019	7454450.8	8964759	0.97700
PI_424078	8941108	7462963.7	8970745	0.98034
PI_567516C	8734636	7295270.0	8760252	0.98251
PI_567343	9108517	7597816.4	9132113	0.98462
PI_086006	8950274	7463981.0	8972725	0.98512
PI_567305	8971702	7489213.0	8993909	0.98524
PI_567387	9009444	7513575.6	9031760	0.98530
PI_417091	9170929	7653732.8	9193502	0.98534
PI_567336B	9087720	7581167.8	9110012	0.98542
PI_567230	9096976	7587476.9	9119120	0.98554
S10-11227	9128135	7627459.9	9149487	0.98597
PI_437655	9094692	7588658.3	9116001	0.98605
PI_437654	9112977	7608280.2	9133679	0.98643
PI_404198B	9112386	7604373.7	9132886	0.98659
PI_079691-4	8939847	7457776.5	8958133	0.98781
PI_089772	9264203	7730464.2	9283071	0.98785
PI_417015	8916750	7440126.0	8934432	0.98817
PI_549031	9065243	7559265.1	9083130	0.98826
PI_548415	9080232	7570987.8	9098091	0.98831
PI_407729	9125357	7612067.2	9143103	0.98841
PI_209332	9195996	7672250.1	9213816	0.98844
PI_088788	8579604	7158383.6	8596149	0.98849
PI_437690	9227203	7698032.1	9244488	0.98882
FC_31721	9032766	7538378.3	9049409	0.98899
PI_090763	9165409	7647530.5	9182303	0.98899
PI_603175	9147544	7634437.5	9164363	0.98901
PI_437725	9056489	7549995.9	9072777	0.98930
PI_567354	9195588	7670828.3	9211857	0.98944
PI_567651	9067672	7560625.0	9083692	0.98948
PI_424298	9271244	7734782.3	9287560	0.98949
PI_407965	9043192	7542622.1	9059048	0.98954
PI_567357	9160724	7638229.8	9176760	0.98958
PI_468915	8827869	7368713.4	8843189	0.98961
PI_612611	9146552	7631024.1	9162255	0.98974
PI_407788A	9260399	7727289.0	9275880	0.99000
PI_200508	8968909	7478056.0	8983769	0.99013
PI_087631-1	9028516	7528721.6	9043220	0.99029
PI_548402	9346362	7796894.9	9361533	0.99030
PI_467312	9000436	7501621.9	9014962	0.99040
PI_594512A	9214751	7687118.0	9229546	0.99041
PI_548317	8997182	7502303.3	9011618	0.99044
PI_548402A	9389252	7831855.2	9404242	0.99047
PI_495017C	9342611	7789446.6	9357376	0.99058
PI_567611	9047052	7541458.4	9061310	0.99062
PI_398593	9154426	7632150.1	9168645	0.99075
PI_567731	8975076	7482447.6	8989014	0.99075
PI_404166	9373407	7820568.9	9387829	0.99080
PI_605869A	8897887	7422210.5	8911552	0.99082
M92-220.x1.04.WT_	9473925	7902136.8	9488404	0.99087
PI_603154	9068523	7563278.3	9082289	0.99094
PI_567383	9173497	7648542.7	9187276	0.99105
PI_548316	9334535	7787717.4	9348400	0.99112
PI_647086	9190911	7667109.4	9204571	0.99112
PI_437679	9052529	7554593.9	9065833	0.99120
PI_561271	9013310	7510014.6	9026504	0.99130
PI_567690	9014158	7513987.8	9027059	0.99147
PI_548349	9048461	7544909.7	9061292	0.99154
PI_438471	9235235	7703433.6	9248290	0.99155
PI_548667	9026443	7531833.2	9038952	0.99170
PI_398610	9036069	7533415.0	9048598	0.99173
PI_087617	9064111	7568504.5	9076551	0.99175
PI_471938	8984108	7497276.5	8996399	0.99180
PI_437863A	9025595	7526626.2	9037900	0.99186
PI_567719	9121336	7603249.5	9133799	0.99186
PI_424608A	9090395	7582687.8	9102756	0.99187
PI_594012	9051214	7545233.6	9063413	0.99196
PI_603170	9090561	7576718.9	9102815	0.99197
PI_416937	9266566	7728099.7	9278900	0.99205
PI_408105A	9152668	7629227.4	9164732	0.99214
PI_603497	8904581	7421321.7	8916152	0.99226
PI_196175	9112390	7595367.7	9124142	0.99231
PI_464920B	9045143	7540567.3	9056649	0.99241
PI_603176A	9156677	7634286.2	9168322	0.99241
PI_398614	8924802	7447522.7	8936039	0.99245
V71-370	9159046	7637128.8	9170600	0.99247
PI_548657	9058160	7557937.6	9069327	0.99261
PI_658519	9186288	7658610.3	9197376	0.99279
S05-11482	9280570	7739314.9	9291664	0.99285
PI_398595	9056311	7550108.0	9067101	0.99289
Holladay	9073359	7564812.3	9084149	0.99290
PI_507354	9252731	7716097.9	9263532	0.99302
PI_518664	9073893	7571139.6	9084319	0.99311
PI_552538	9142966	7621011.6	9153218	0.99331
PI_548511	8868069	7426966.8	8877717	0.99335
PI_518751	9010546	7514231.3	9019842	0.99383
PI_639740	8936099	7444752.5	8945173	0.99395
PI_475783B	9066676	7559998.5	9075707	0.99404
PI_437169B	9251184	7716147.1	9260105	0.99422
PI_593258	9047865	7541904.2	9056173	0.99451
Maverick	9090861	7577283.5	9098414	0.99503
S07-5049	9236788	7696864.3	9243327	0.99577
IA3023	9125699	7603612.3	9130802	0.99666
PI_591539	9119186	7602970.1	9123241	0.99733
PI_547862	9150053	7621269.7	9152729	0.99825
PI_542044	9363010	7802519.3	9364921	0.99878
