INDV	N_DATA	N_GENOTYPES_FILTERED	N_MISS	F_MISS
1R36C56Cdbbr418MN13_	1902018	0	518519	0.272615
6R40C84Dar41dMNB12_	1902018	0	463906	0.243902
4R30C22acr626MN13_	1902018	0	102781	0.0540379
2012BM7F068_	1902018	0	95633	0.0502798
FN0163764.04.01.M4_	1902018	0	91499	0.0481063
RP8DM5r597MN13_	1902018	0	59747	0.0314124
5R39C03Dr334cMN12_	1902018	0	55657	0.0292621
R52C55Dadr564MN13_	1902018	0	54414	0.0286086
R18C55Dhaar437MN13_	1902018	0	51380	0.0270134
FN0172932.09.08.01.M5_	1902018	0	46265	0.0243242
FN0171501.01.02.M4_	1902018	0	31832	0.0167359
FN0190069.01.01.M4_	1902018	0	31034	0.0163164
FN0164160.03.02.01.01.M6_	1902018	0	30848	0.0162186
FN0170228.07.35.01.M5_	1902018	0	27012	0.0142018
FN0112228.06.02.01.M5_	1902018	0	25050	0.0131702
FN0131633.06.01.M4_	1902018	0	23379	0.0122917
FN0175143.05.06.01.M5_	1902018	0	21135	0.0111119
FN0173217.03.09.01.M5_	1902018	0	20205	0.0106229
FN0170712.06.41.01.M5_	1902018	0	19549	0.010278
FN0175501.x2.02.01.M5_	1902018	0	16902	0.00888635
2012CM7F040P07_	1902018	0	16370	0.00860665
2012CM8F030P09_	1902018	0	16194	0.00851412
FN0112885.02.06.03.M5_	1902018	0	16071	0.00844945
FN0164472.x3.06.01.M5_	1902018	0	16000	0.00841212
2012CM8F030P07_	1902018	0	14744	0.00775177
2012CM8F030P02_	1902018	0	13517	0.00710666
2012CM7F040P06_	1902018	0	13055	0.00686376
2012BM7F223_	1902018	0	12385	0.00651151
2012DM8F016P02_	1902018	0	10662	0.00560563
2012CM7F040P05_	1902018	0	10476	0.00550783
