#Accession	R1_prop_mismatch	R2_prop_mismatch
FC_31721	0.0	0.0
Holladay	0.0	0.0
IA3023	0.0	0.0
Maverick	0.0	0.0
PI_079691-4	0.0	0.0
PI_086006	0.0	0.0
PI_087617	0.0	0.0
PI_087631-1	0.0	0.0
PI_088788	0.0	0.0
PI_089772	0.0	0.0
PI_090763	0.0	0.0
PI_196175	0.0	0.0
PI_200508	0.0	0.0
PI_209332	0.0	0.0
PI_248515	0.0	0.0
PI_366121	0.0	0.0
PI_378702	0.0	0.0
PI_398593	0.0	0.0
PI_398595	0.0	0.0
PI_398610	0.0	0.0
PI_398614	0.0	0.0
PI_404166	0.0	0.0
PI_404198B	0.0	0.0
PI_407162-soja	0.0	0.0
PI_407184	0.0	0.0
PI_407729	0.0	0.0
PI_407788A	0.0	0.0
PI_407965	0.0	0.0
PI_408105A	0.0	0.0
PI_416937	0.0	0.0
PI_417015	0.0	0.0
PI_417091	0.0	0.0
PI_424078	0.0	0.0
PI_424079	0.0	0.0
PI_424088	0.0	0.0
PI_424298	0.0	0.0
PI_424608A	0.0	0.0
PI_437169B	0.0	0.0
PI_437654	0.0	0.0
PI_437655	0.0	0.0
PI_437679	0.0	0.0
PI_437690	0.0	0.0
PI_437725	0.0	0.0
PI_437863A	0.0	0.0
PI_438258	0.0	0.0
PI_438471	0.0	0.0
PI_458515	0.0	0.0
PI_464920B	0.0	0.0
PI_467312	0.0	0.0
PI_468915	0.0	0.0
PI_471938	0.0	0.0
PI_475783B	0.0	0.0
PI_483463-soja	0.0	0.0
PI_495017C	0.0	0.0
PI_507354	0.0	0.0
PI_518664	0.0	0.0
PI_518751	0.0	0.0
PI_542044	0.0	0.0
PI_547862	0.0	0.0
PI_548316	0.0	0.0
PI_548317	0.0	0.0
PI_548349	0.0	0.0
PI_548402A	0.0	0.0
PI_548402	0.0	0.0
PI_548415	0.0	0.0
PI_548511	0.0	0.0
PI_548657	0.0	0.0
PI_548667	0.0	0.0
PI_549031	0.0	0.0
PI_552538	0.0	0.0
PI_561271	0.0	0.0
PI_567230	0.0	0.0
PI_567305	0.0	0.0
PI_567336B	0.0	0.0
PI_567343	0.0	0.0
PI_567354	0.0	0.0
PI_567357	0.0	0.0
PI_567383	0.0	0.0
PI_567387	0.0	0.0
PI_567516C	0.0	0.0
PI_567519	0.0	0.0
PI_567611	0.0	0.0
PI_567651	0.0	0.0
PI_567690	0.0	0.0
PI_567719	0.0	0.0
PI_567731	0.0	0.0
PI_591539	0.0	0.0
PI_593258	0.0	0.0
PI_594012	0.0	0.0
PI_594512A	0.0	0.0
PI_594599	0.0	0.0
PI_597387	0.0	0.0
PI_603154	0.0	0.0
PI_603170	0.0	0.0
PI_603175	0.0	0.0
PI_603176A	0.0	0.0
PI_603497	0.0	0.0
PI_605869A	0.0	0.0
PI_612611	0.0	0.0
